                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4779,                 2.6755,                 2.0547,                0.37101,                0.29826,                0.28526,                0.10632,                 1.6839,                 2.1729,                 2.2511,             0.00028906,             0.00028906,             0.00028906
                      2,                 1.3633,                  1.888,                 1.8636,                0.18677,                0.34219,                0.23492,                0.10537,                 1.6958,                 2.3575,                 2.2993,             0.00057626,             0.00057626,             0.00057626
                      3,                  1.352,                 1.7862,                  1.869,                0.51567,                0.38277,                0.29052,                0.11924,                 1.6564,                  2.584,                 2.4882,             0.00085766,             0.00085766,             0.00085766
                      4,                 1.3547,                 1.7406,                 1.8627,                0.24744,                0.41459,                0.29689,                0.12941,                 1.6168,                 2.5028,                 2.3454,             0.00097027,             0.00097027,             0.00097027
                      5,                 1.3465,                 1.6527,                 1.8462,                0.67309,                0.41039,                0.42561,                 0.1864,                 1.5938,                 2.0157,                 2.2608,             0.00096036,             0.00096036,             0.00096036
                      6,                 1.3097,                 1.5421,                 1.8044,                0.67721,                0.50339,                0.59284,                 0.2832,                 1.4369,                  1.427,                 2.0008,             0.00095045,             0.00095045,             0.00095045
                      7,                 1.2985,                 1.4805,                 1.8002,                0.62572,                0.43607,                0.50406,                 0.2439,                 1.5233,                 1.4159,                 2.0638,             0.00094054,             0.00094054,             0.00094054
                      8,                 1.2805,                 1.4393,                 1.7837,                0.57522,                  0.362,                0.38026,                0.17631,                 1.5841,                 2.1936,                 2.3246,             0.00093063,             0.00093063,             0.00093063
                      9,                 1.2554,                 1.4196,                 1.7687,                0.57516,                0.49351,                0.56222,                0.28103,                 1.3786,                 1.4149,                 1.9546,             0.00092072,             0.00092072,             0.00092072
                     10,                 1.2618,                 1.3963,                 1.7679,                0.54242,                0.53125,                 0.6117,                0.29787,                 1.3713,                 1.3894,                 1.9281,             0.00091081,             0.00091081,             0.00091081
                     11,                 1.2396,                 1.3718,                 1.7439,                0.72499,                0.47489,                 0.5428,                0.27381,                  1.463,                 1.5385,                 2.0997,              0.0009009,              0.0009009,              0.0009009
                     12,                 1.2339,                 1.3451,                 1.7507,                0.55881,                0.56865,                0.62149,                0.31537,                 1.3296,                  1.345,                 1.8963,             0.00089099,             0.00089099,             0.00089099
                     13,                 1.2189,                 1.3315,                  1.735,                0.60214,                 0.5894,                0.59388,                0.29494,                 1.4198,                 1.3007,                 1.9585,             0.00088108,             0.00088108,             0.00088108
                     14,                  1.218,                 1.3115,                 1.7268,                 0.5984,                0.62579,                0.62895,                0.31676,                 1.3965,                 1.2848,                 1.8906,             0.00087116,             0.00087116,             0.00087116
                     15,                 1.2125,                 1.2971,                  1.718,                0.69343,                0.61431,                0.67794,                0.34816,                 1.3344,                 1.2418,                 1.8585,             0.00086125,             0.00086125,             0.00086125
                     16,                 1.1867,                 1.2649,                 1.7109,                0.72625,                0.54263,                 0.6353,                0.31152,                 1.4301,                 1.2868,                 1.9719,             0.00085134,             0.00085134,             0.00085134
                     17,                 1.2033,                 1.2828,                  1.718,                0.56367,                0.54309,                0.61513,                0.31477,                 1.3549,                 1.2995,                 1.8614,             0.00084143,             0.00084143,             0.00084143
                     18,                 1.2009,                  1.272,                 1.7133,                0.60019,                0.57399,                0.65942,                 0.3374,                 1.3459,                 1.2451,                  1.876,             0.00083152,             0.00083152,             0.00083152
                     19,                 1.1888,                 1.2313,                 1.6923,                 0.5462,                0.66279,                0.65995,                0.34046,                 1.3041,                 1.2255,                  1.823,             0.00082161,             0.00082161,             0.00082161
                     20,                 1.1792,                 1.2211,                 1.6973,                0.57085,                0.67878,                0.65936,                0.34002,                 1.3376,                 1.1927,                 1.8536,              0.0008117,              0.0008117,              0.0008117
                     21,                 1.1779,                 1.2068,                 1.6889,                0.65986,                0.64993,                  0.696,                0.36671,                 1.3314,                 1.1926,                 1.8664,             0.00080179,             0.00080179,             0.00080179
                     22,                 1.1835,                 1.2168,                 1.7013,                0.64738,                 0.6535,                0.71181,                0.37323,                  1.314,                 1.1432,                 1.8341,             0.00079188,             0.00079188,             0.00079188
                     23,                 1.1653,                 1.1913,                 1.6919,                0.68633,                0.62456,                 0.6908,                0.36313,                 1.3302,                 1.2303,                 1.8585,             0.00078197,             0.00078197,             0.00078197
                     24,                 1.1829,                 1.2301,                 1.7055,                0.69257,                 0.5755,                0.65352,                0.34466,                 1.2951,                 1.2225,                 1.8409,             0.00077206,             0.00077206,             0.00077206
                     25,                 1.1653,                 1.1862,                 1.6786,                0.67439,                0.66209,                0.71607,                0.37785,                 1.2976,                 1.1191,                 1.8085,             0.00076215,             0.00076215,             0.00076215
                     26,                 1.1532,                 1.1739,                 1.6718,                0.71974,                0.67847,                0.72594,                0.38644,                 1.2799,                 1.1056,                 1.7927,             0.00075224,             0.00075224,             0.00075224
                     27,                 1.1497,                  1.164,                 1.6626,                0.63027,                0.69141,                0.70408,                0.37152,                 1.3231,                 1.1628,                 1.8766,             0.00074233,             0.00074233,             0.00074233
                     28,                 1.1416,                 1.1266,                 1.6629,                0.63551,                0.67068,                 0.6972,                0.36167,                 1.3178,                 1.1456,                 1.8395,             0.00073242,             0.00073242,             0.00073242
                     29,                 1.1345,                 1.1307,                 1.6563,                0.63351,                0.64999,                0.69209,                 0.3617,                 1.3178,                 1.1375,                 1.8223,             0.00072251,             0.00072251,             0.00072251
