                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96372,                 1.9817,                 1.8598,                0.50328,                0.26341,                0.31741,                0.15047,                 1.0288,                 1.6969,                 1.9996,             0.00038144,             0.00038144,             0.00038144
                      2,                0.89286,                 1.4482,                 1.7256,                0.59373,                0.29542,                0.25461,                0.11162,                 1.0987,                 1.9956,                 2.1279,             0.00076041,             0.00076041,             0.00076041
                      3,                0.88835,                 1.3352,                 1.6983,                0.36349,                0.39383,                0.32749,                0.13835,                 1.1487,                 1.5255,                 2.1904,             0.00098012,             0.00098012,             0.00098012
                      4,                0.87938,                 1.2897,                 1.7104,                0.41063,                0.38844,                0.41062,                0.18751,                 1.0024,                 1.5429,                 1.9593,             0.00097017,             0.00097017,             0.00097017
                      5,                0.85911,                 1.2179,                 1.6753,                0.52579,                0.58877,                0.56448,                0.26207,                0.93072,                 1.1422,                 1.8489,             0.00096023,             0.00096023,             0.00096023
                      6,                0.83221,                  1.165,                 1.6474,                 0.4458,                0.54414,                0.49778,                0.23093,                0.97095,                 1.1216,                 1.8634,             0.00095029,             0.00095029,             0.00095029
                      7,                0.83827,                 1.1356,                 1.6378,                0.76266,                0.46219,                0.59561,                0.30277,                0.87687,                  1.069,                 1.7615,             0.00094035,             0.00094035,             0.00094035
                      8,                0.81095,                 1.0873,                 1.5998,                0.68223,                0.53788,                0.56762,                0.27737,                0.93588,                 1.1536,                 1.7886,              0.0009304,              0.0009304,              0.0009304
                      9,                0.81551,                 1.0632,                 1.6099,                0.58574,                0.59716,                0.64874,                0.30995,                0.90269,                 1.0173,                 1.8221,             0.00092046,             0.00092046,             0.00092046
                     10,                0.81787,                 1.0423,                 1.6025,                0.60353,                0.66686,                0.67284,                0.32778,                0.88896,                 1.0794,                 1.7429,             0.00091052,             0.00091052,             0.00091052
                     11,                0.79977,                  1.025,                 1.5898,                0.74294,                0.53453,                0.63255,                0.31643,                0.90719,                0.98784,                 1.7717,             0.00090058,             0.00090058,             0.00090058
                     12,                0.78999,                0.99289,                 1.5827,                0.54871,                0.61163,                0.60887,                0.29482,                 0.9355,                0.99198,                 1.7554,             0.00089063,             0.00089063,             0.00089063
                     13,                0.79385,                0.98879,                 1.5705,                0.65356,                0.60201,                0.67461,                0.33811,                0.90687,                0.94458,                 1.7581,             0.00088069,             0.00088069,             0.00088069
                     14,                0.79052,                0.97871,                 1.5818,                0.58586,                0.55726,                0.58029,                0.29492,                0.91881,                 1.0668,                 1.8107,             0.00087075,             0.00087075,             0.00087075
                     15,                  0.788,                0.96982,                 1.5624,                0.63734,                0.63022,                0.65441,                0.33285,                0.88788,                0.95206,                 1.7042,             0.00086081,             0.00086081,             0.00086081
                     16,                0.76859,                0.91282,                 1.5409,                0.64793,                0.61675,                0.65795,                0.34129,                0.90752,                0.90346,                 1.7216,             0.00085087,             0.00085087,             0.00085087
                     17,                0.78422,                0.94602,                 1.5654,                0.59507,                 0.6462,                0.66045,                0.32971,                0.88231,                0.97175,                 1.7555,             0.00084092,             0.00084092,             0.00084092
                     18,                0.77356,                0.94536,                 1.5735,                0.64492,                0.63953,                 0.6854,                0.36303,                0.86055,                0.92029,                 1.6735,             0.00083098,             0.00083098,             0.00083098
                     19,                0.77528,                0.93285,                 1.5532,                 0.6254,                0.62954,                0.66343,                0.34363,                0.90011,                0.95407,                 1.7518,             0.00082104,             0.00082104,             0.00082104
                     20,                 0.7612,                0.90279,                 1.5372,                0.66788,                0.65992,                0.70785,                0.38393,                0.82787,                0.88231,                 1.6799,              0.0008111,              0.0008111,              0.0008111
                     21,                0.75289,                0.88776,                 1.5234,                0.65933,                0.64517,                0.67398,                0.34627,                0.90891,                0.90929,                 1.7607,             0.00080115,             0.00080115,             0.00080115
                     22,                0.77038,                0.89684,                 1.5422,                0.62763,                0.62304,                0.66857,                 0.3316,                0.92416,                0.93479,                 1.7643,             0.00079121,             0.00079121,             0.00079121
                     23,                0.75684,                0.90038,                 1.5371,                 0.6326,                0.65011,                0.68732,                0.35892,                 0.8712,                0.90215,                 1.6961,             0.00078127,             0.00078127,             0.00078127
                     24,                0.75587,                0.88623,                 1.5188,                0.68533,                0.66763,                 0.7111,                0.38493,                0.84191,                0.87161,                 1.6453,             0.00077133,             0.00077133,             0.00077133
                     25,                0.73799,                0.87619,                 1.5149,                0.65509,                0.64477,                0.69251,                0.35604,                0.88485,                0.92823,                 1.7306,             0.00076138,             0.00076138,             0.00076138
                     26,                0.76201,                0.88576,                  1.537,                0.60666,                0.65543,                0.68691,                0.35783,                0.86751,                0.90077,                 1.7112,             0.00075144,             0.00075144,             0.00075144
                     27,                0.74905,                0.88441,                 1.5212,                0.60037,                0.66249,                0.66619,                0.35722,                0.86375,                0.86834,                 1.6851,              0.0007415,              0.0007415,              0.0007415
                     28,                  0.741,                0.85949,                 1.5251,                0.61534,                0.66342,                0.69505,                0.36848,                0.86312,                0.87213,                 1.6945,             0.00073156,             0.00073156,             0.00073156
