                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4773,                 2.6814,                 2.0523,                0.29225,                0.25636,                 0.2447,                0.09876,                 1.6487,                 2.1928,                 2.2277,             0.00028906,             0.00028906,             0.00028906
                      2,                 1.3779,                 1.8686,                 1.8777,                0.50646,                0.48532,                0.41949,                0.18991,                 1.5558,                 1.8343,                   2.15,             0.00057915,             0.00057915,             0.00057915
                      3,                 1.3525,                  1.761,                 1.8688,                0.51685,                0.40642,                0.37747,                0.16272,                 1.6071,                  1.982,                 2.2401,             0.00086633,             0.00086633,             0.00086633
                      4,                 1.3263,                  1.697,                 1.8497,                0.39846,                0.50386,                0.42956,                0.18463,                 1.6589,                 1.8613,                 2.3874,             0.00098513,             0.00098513,             0.00098513
                      5,                 1.3216,                 1.6297,                 1.8541,                0.61601,                0.44393,                0.49083,                0.22488,                 1.4626,                 1.7799,                 2.2019,             0.00098018,             0.00098018,             0.00098018
                      6,                 1.3078,                 1.5351,                  1.805,                0.54852,                 0.6265,                0.62653,                0.29673,                 1.4144,                 1.4359,                 1.9607,             0.00097522,             0.00097522,             0.00097522
                      7,                 1.2939,                 1.4866,                 1.8005,                0.47793,                0.52442,                0.49437,                0.23024,                 1.5985,                 1.5926,                 2.0811,             0.00097027,             0.00097027,             0.00097027
                      8,                 1.2694,                 1.4454,                 1.7732,                0.44815,                0.49502,                0.51999,                0.24785,                 1.4163,                 1.4356,                 2.0182,             0.00096531,             0.00096531,             0.00096531
                      9,                  1.269,                 1.4353,                 1.7856,                0.66607,                 0.5051,                0.55006,                 0.2631,                 1.4303,                  1.479,                 2.0111,             0.00096036,             0.00096036,             0.00096036
                     10,                 1.2572,                  1.406,                 1.7641,                0.61033,                0.55407,                0.61529,                0.29586,                 1.4482,                 1.3722,                 2.0052,              0.0009554,              0.0009554,              0.0009554
                     11,                 1.2368,                 1.3628,                 1.7627,                0.68501,                0.54124,                0.61261,                0.29952,                 1.4276,                 1.3684,                 1.9829,             0.00095045,             0.00095045,             0.00095045
                     12,                 1.2364,                 1.3448,                 1.7448,                0.74264,                 0.5977,                0.68941,                0.35111,                 1.3189,                 1.2529,                 1.8471,             0.00094549,             0.00094549,             0.00094549
                     13,                 1.2136,                 1.3259,                 1.7416,                0.64162,                 0.6144,                0.64407,                0.33472,                 1.3792,                 1.2704,                 1.9386,             0.00094054,             0.00094054,             0.00094054
                     14,                 1.2048,                 1.3151,                  1.742,                0.64498,                0.60369,                0.65437,                0.32987,                  1.339,                 1.2598,                 1.8929,             0.00093558,             0.00093558,             0.00093558
                     15,                  1.205,                 1.2971,                 1.7259,                0.69732,                0.59976,                0.64041,                0.33615,                 1.3131,                 1.2757,                 1.8452,             0.00093063,             0.00093063,             0.00093063
                     16,                 1.1749,                 1.2565,                 1.7018,                0.77123,                0.56784,                0.66161,                0.34756,                 1.3172,                 1.2063,                 1.8193,             0.00092567,             0.00092567,             0.00092567
                     17,                 1.1988,                 1.2907,                 1.7309,                 0.5794,                0.56156,                0.59342,                 0.3092,                 1.3817,                 1.3791,                 1.9441,             0.00092072,             0.00092072,             0.00092072
                     18,                 1.2082,                 1.2661,                 1.7313,                0.58381,                0.65718,                0.66936,                0.33533,                 1.3807,                 1.2576,                  1.899,             0.00091576,             0.00091576,             0.00091576
                     19,                 1.2099,                 1.2453,                 1.7129,                 0.5782,                0.66123,                0.63654,                0.32547,                 1.3606,                 1.3195,                 1.8984,             0.00091081,             0.00091081,             0.00091081
                     20,                  1.176,                 1.2428,                 1.7015,                0.75627,                0.56159,                0.65035,                0.33498,                 1.3238,                 1.2385,                 1.8667,             0.00090585,             0.00090585,             0.00090585
                     21,                  1.193,                 1.2292,                 1.7055,                0.64507,                0.63983,                0.67228,                0.34466,                 1.3657,                 1.1839,                 1.8712,              0.0009009,              0.0009009,              0.0009009
                     22,                 1.1911,                 1.2347,                 1.7185,                0.69005,                0.68678,                0.70893,                0.37362,                 1.2976,                 1.1339,                 1.8215,             0.00089594,             0.00089594,             0.00089594
                     23,                 1.1694,                 1.1988,                    1.7,                0.63811,                0.65646,                0.66901,                0.34998,                 1.3131,                 1.1969,                 1.8438,             0.00089099,             0.00089099,             0.00089099
                     24,                 1.1908,                 1.2272,                 1.7122,                0.71636,                0.59828,                0.68387,                0.36462,                 1.3077,                 1.1628,                 1.8381,             0.00088603,             0.00088603,             0.00088603
                     25,                 1.1767,                 1.1923,                 1.6854,                0.63092,                0.67145,                0.67703,                 0.3301,                 1.4166,                 1.1783,                 1.9266,             0.00088108,             0.00088108,             0.00088108
                     26,                  1.164,                 1.1794,                  1.689,                0.63549,                0.65269,                0.67935,                0.35687,                 1.3588,                 1.1784,                 1.8985,             0.00087612,             0.00087612,             0.00087612
                     27,                 1.1589,                 1.1728,                 1.6805,                0.62892,                 0.5954,                0.65435,                0.34063,                 1.3498,                 1.2436,                 1.9033,             0.00087116,             0.00087116,             0.00087116
                     28,                 1.1478,                  1.134,                 1.6701,                0.58078,                0.67469,                0.65454,                0.35935,                 1.3255,                 1.1434,                 1.8441,             0.00086621,             0.00086621,             0.00086621
                     29,                 1.1394,                 1.1139,                 1.6618,                0.69955,                 0.6547,                 0.7061,                0.35278,                 1.3908,                 1.1395,                 1.8954,             0.00086125,             0.00086125,             0.00086125
                     30,                 1.1633,                 1.1712,                 1.6849,                0.53717,                0.67753,                0.67438,                 0.3421,                  1.401,                 1.1879,                 1.9227,              0.0008563,              0.0008563,              0.0008563
                     31,                 1.1328,                 1.1404,                 1.6583,                0.58433,                0.63451,                0.63246,                0.31671,                 1.4689,                  1.267,                 1.9783,             0.00085134,             0.00085134,             0.00085134
                     32,                 1.1234,                 1.1337,                 1.6532,                0.62311,                0.67043,                0.69447,                0.37901,                 1.2995,                 1.1475,                 1.8464,             0.00084639,             0.00084639,             0.00084639
                     33,                 1.1325,                 1.1351,                  1.663,                 0.7544,                0.59742,                0.72185,                0.39176,                 1.2971,                 1.0994,                 1.8285,             0.00084143,             0.00084143,             0.00084143
                     34,                 1.1381,                 1.1331,                 1.6582,                0.76121,                0.61014,                0.71714,                0.38502,                 1.3101,                 1.0861,                 1.8304,             0.00083648,             0.00083648,             0.00083648
                     35,                 1.1155,                 1.0884,                 1.6398,                0.66723,                0.67128,                0.71476,                0.37348,                 1.3248,                 1.0924,                 1.8505,             0.00083152,             0.00083152,             0.00083152
                     36,                 1.1092,                 1.0826,                 1.6319,                0.58087,                0.65827,                 0.6793,                0.35461,                 1.3454,                 1.1379,                  1.855,             0.00082657,             0.00082657,             0.00082657
                     37,                 1.1045,                   1.09,                 1.6429,                0.61271,                0.69365,                0.68866,                0.36093,                 1.3546,                   1.13,                 1.8767,             0.00082161,             0.00082161,             0.00082161
                     38,                  1.145,                 1.1152,                 1.6602,                0.58401,                0.69043,                0.70302,                0.38165,                 1.2799,                 1.1278,                 1.7965,             0.00081666,             0.00081666,             0.00081666
                     39,                 1.1113,                 1.0608,                 1.6232,                0.59782,                0.71244,                0.71663,                0.38025,                 1.3074,                 1.1029,                 1.8241,              0.0008117,              0.0008117,              0.0008117
                     40,                 1.1296,                 1.0908,                 1.6493,                0.64942,                0.68745,                0.71481,                0.38754,                 1.3344,                 1.0862,                 1.8792,             0.00080675,             0.00080675,             0.00080675
                     41,                 1.1161,                 1.0859,                 1.6378,                0.66852,                0.69122,                0.72048,                0.39398,                 1.2935,                 1.0424,                 1.8048,             0.00080179,             0.00080179,             0.00080179
                     42,                 1.1042,                  1.068,                 1.6217,                0.67594,                0.69816,                0.72149,                 0.3894,                 1.2847,                 1.0756,                 1.8043,             0.00079684,             0.00079684,             0.00079684
                     43,                 1.1191,                 1.0736,                 1.6393,                0.70435,                0.71173,                0.76219,                0.38973,                 1.3487,                 1.0844,                 1.8631,             0.00079188,             0.00079188,             0.00079188
                     44,                 1.1016,                  1.066,                 1.6267,                0.63082,                0.70467,                0.73377,                0.38529,                 1.2941,                 1.0635,                 1.8376,             0.00078693,             0.00078693,             0.00078693
                     45,                 1.1057,                 1.0595,                 1.6245,                0.65098,                0.66951,                0.70449,                0.38171,                 1.3223,                 1.1142,                 1.8277,             0.00078197,             0.00078197,             0.00078197
                     46,                 1.1101,                  1.092,                 1.6327,                 0.6606,                0.63183,                 0.6748,                0.35231,                 1.3785,                 1.1887,                 1.9349,             0.00077702,             0.00077702,             0.00077702
                     47,                 1.0797,                 1.0658,                 1.6232,                0.63958,                0.69957,                0.71779,                0.38038,                 1.3251,                 1.0903,                 1.8526,             0.00077206,             0.00077206,             0.00077206
                     48,                 1.0961,                 1.0492,                 1.6289,                 0.5871,                  0.695,                0.70312,                0.37124,                 1.3491,                  1.084,                 1.8367,             0.00076711,             0.00076711,             0.00076711
                     49,                 1.1051,                 1.0712,                 1.6243,                0.59784,                0.66786,                0.66283,                0.34071,                 1.3601,                 1.1456,                 1.8503,             0.00076215,             0.00076215,             0.00076215
                     50,                 1.1074,                 1.0746,                 1.6259,                0.72339,                0.67569,                0.74132,                0.38407,                 1.3311,                 1.0284,                 1.8535,              0.0007572,              0.0007572,              0.0007572
                     51,                 1.1047,                 1.0513,                 1.6281,                0.61117,                 0.6795,                 0.6994,                0.38071,                 1.2878,                 1.0785,                   1.83,             0.00075224,             0.00075224,             0.00075224
                     52,                 1.0885,                 1.0471,                 1.6268,                0.69224,                0.72165,                0.75959,                0.41204,                  1.292,                0.99623,                 1.8077,             0.00074728,             0.00074728,             0.00074728
                     53,                 1.1009,                  1.026,                 1.6255,                0.63609,                0.68934,                 0.7144,                0.38405,                 1.3293,                 1.0467,                 1.8463,             0.00074233,             0.00074233,             0.00074233
                     54,                 1.0747,                 1.0243,                 1.6031,                0.61195,                0.65927,                0.70606,                0.37174,                 1.3701,                 1.0857,                 1.9007,             0.00073737,             0.00073737,             0.00073737
                     55,                  1.062,                0.99588,                  1.585,                0.69834,                0.72899,                0.75639,                0.41192,                  1.304,                0.99109,                 1.7992,             0.00073242,             0.00073242,             0.00073242
                     56,                  1.084,                 1.0365,                 1.6148,                0.74233,                0.67191,                0.73666,                0.39403,                 1.3127,                 1.0372,                 1.8455,             0.00072746,             0.00072746,             0.00072746
                     57,                 1.0696,                 1.0136,                 1.5894,                0.66669,                0.72009,                0.73668,                0.40282,                 1.2901,                 1.0085,                  1.794,             0.00072251,             0.00072251,             0.00072251
                     58,                 1.0707,                 1.0102,                 1.6036,                0.69334,                0.69751,                0.72991,                0.38299,                  1.324,                 1.0571,                 1.8529,             0.00071755,             0.00071755,             0.00071755
                     59,                 1.0719,                 1.0284,                 1.6008,                0.67023,                0.62701,                0.67214,                0.34907,                 1.4104,                 1.1025,                 1.9228,              0.0007126,              0.0007126,              0.0007126
                     60,                 1.0787,                 1.0056,                  1.598,                0.71044,                0.70928,                0.75033,                0.41442,                 1.2645,                  1.038,                 1.8047,             0.00070764,             0.00070764,             0.00070764
                     61,                 1.0473,                 1.0044,                 1.5752,                  0.642,                 0.7144,                0.74564,                0.41114,                 1.2766,                0.99404,                 1.7995,             0.00070269,             0.00070269,             0.00070269
                     62,                 1.0594,                 0.9761,                 1.5884,                0.66981,                0.72216,                0.75273,                0.40723,                 1.2976,                 0.9827,                 1.8291,             0.00069773,             0.00069773,             0.00069773
                     63,                 1.0556,                0.97792,                 1.5815,                0.72077,                0.68627,                0.72813,                0.39335,                 1.2879,                 1.0117,                 1.8099,             0.00069278,             0.00069278,             0.00069278
                     64,                 1.0643,                0.98345,                 1.5745,                0.63918,                0.71169,                0.72624,                0.38651,                 1.2878,                   1.04,                  1.818,             0.00068782,             0.00068782,             0.00068782
                     65,                 1.0536,                0.96581,                 1.5843,                0.69804,                 0.6972,                0.72452,                0.37362,                 1.3899,                 1.0555,                 1.8869,             0.00068287,             0.00068287,             0.00068287
