                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7674,                 2.8746,                 1.8861,                0.29004,                0.22066,                0.15294,                0.06114,                 2.5075,                 3.7501,                  2.467,             0.00032889,             0.00032889,             0.00032889
                      2,                 1.6772,                 1.9812,                 1.7391,                0.57566,                0.28347,                0.25197,                0.11609,                 2.0229,                 2.6456,                 2.2242,             0.00065894,             0.00065894,             0.00065894
                      3,                 1.6797,                 1.8939,                 1.7527,                0.25783,                0.34085,                0.26097,                0.10493,                  2.167,                 3.0119,                 2.3352,              0.0009857,              0.0009857,              0.0009857
                      4,                 1.6245,                 1.8534,                 1.7154,                 0.4421,                0.43801,                0.32709,                0.13952,                 1.9469,                 2.6955,                 2.1798,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.6311,                 1.7656,                 1.7017,                0.41502,                 0.4872,                0.46895,                0.20502,                 1.8842,                 2.0042,                 2.0407,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5891,                 1.6936,                 1.6618,                0.64457,                0.47094,                0.53285,                0.24553,                 1.7546,                  1.722,                 1.9207,             0.00097525,             0.00097525,             0.00097525
                      7,                  1.578,                 1.6658,                 1.6508,                0.46752,                 0.3538,                0.39583,                0.18885,                 1.9027,                 2.2503,                 2.0118,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.5759,                 1.6523,                  1.651,                0.60208,                0.53244,                 0.5144,                0.24991,                 1.7745,                 2.0404,                 1.8751,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.5445,                 1.6579,                 1.6344,                0.63813,                0.54383,                0.58381,                0.28004,                 1.7444,                 1.6447,                 1.8299,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.5024,                 1.5641,                 1.6027,                0.48233,                0.60953,                0.60161,                0.29162,                 1.6688,                 1.6139,                 1.7757,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.4979,                 1.5602,                   1.61,                0.46872,                0.51942,                0.49297,                0.23013,                 1.8581,                 1.9157,                   1.96,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.4796,                 1.5305,                 1.6015,                0.75453,                0.52241,                0.58012,                0.28505,                 1.6393,                 1.6422,                 1.7657,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.4808,                 1.5143,                  1.597,                0.55096,                0.64279,                0.63644,                0.33182,                 1.6378,                 1.5171,                 1.7527,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.4952,                  1.534,                 1.6007,                0.68053,                0.58481,                0.65122,                 0.3214,                 1.6838,                 1.4584,                 1.7529,             0.00093565,             0.00093565,             0.00093565
                     15,                 1.4595,                 1.5015,                 1.5836,                0.52274,                0.54022,                0.61698,                0.31781,                 1.6249,                  1.498,                 1.7591,              0.0009307,              0.0009307,              0.0009307
                     16,                 1.4832,                 1.5252,                 1.5912,                0.62509,                0.59627,                0.63253,                0.30917,                 1.6596,                 1.5945,                 1.7613,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.4492,                 1.5058,                 1.5875,                0.56847,                0.52674,                0.60211,                0.31122,                 1.6638,                  1.552,                 1.7658,              0.0009208,              0.0009208,              0.0009208
                     18,                 1.4583,                 1.4822,                 1.5782,                0.51988,                0.60748,                 0.5964,                0.28859,                 1.7552,                 1.5895,                 1.8249,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.4444,                 1.4829,                 1.5738,                 0.5068,                 0.5791,                0.63681,                0.32783,                 1.6099,                   1.48,                  1.728,              0.0009109,              0.0009109,              0.0009109
