                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4913,                 2.8056,                 2.0646,                0.88943,                0.04934,                0.14878,                0.06248,                 1.7327,                 2.6093,                 2.2369,             0.00028655,             0.00028655,             0.00028655
                      2,                 1.3596,                 1.9635,                 1.9039,                0.34687,                0.39726,                0.35209,                0.14858,                 1.5307,                 2.5615,                  2.243,             0.00057321,             0.00057321,             0.00057321
                      3,                 1.3306,                 1.7809,                 1.8684,                0.52414,                0.51473,                0.47838,                0.22726,                 1.4571,                 2.5742,                 2.2442,             0.00085407,             0.00085407,             0.00085407
                      4,                 1.3478,                 1.7181,                 1.8659,                0.48532,                0.31513,                0.34154,                0.15503,                 1.5928,                 2.1761,                 2.2806,             0.00097027,             0.00097027,             0.00097027
                      5,                  1.292,                 1.6271,                 1.8196,                0.27333,                0.41128,                0.30199,                0.12766,                 1.7583,                 1.9993,                 2.3121,             0.00096036,             0.00096036,             0.00096036
                      6,                 1.3011,                  1.558,                 1.7874,                0.58153,                  0.409,                0.40519,                0.18534,                 1.5381,                 2.1193,                 2.0749,             0.00095045,             0.00095045,             0.00095045
                      7,                 1.2763,                 1.4963,                 1.7722,                0.49652,                 0.5788,                0.55335,                0.26357,                 1.4038,                 1.4597,                 1.9594,             0.00094054,             0.00094054,             0.00094054
                      8,                 1.2678,                 1.4516,                  1.764,                0.55404,                0.55122,                0.57614,                0.27833,                 1.4547,                 1.4022,                 1.9805,             0.00093063,             0.00093063,             0.00093063
                      9,                  1.234,                 1.4059,                 1.7381,                0.68624,                0.41612,                0.46169,                0.22686,                 1.4823,                 1.6509,                 2.0064,             0.00092072,             0.00092072,             0.00092072
                     10,                 1.2349,                 1.3955,                 1.7564,                0.54196,                0.49209,                 0.5658,                 0.2808,                 1.4049,                 1.5584,                 1.9619,             0.00091081,             0.00091081,             0.00091081
                     11,                 1.2248,                 1.3493,                 1.7225,                0.59705,                 0.6268,                 0.6361,                0.32634,                 1.3274,                 1.2624,                 1.8302,              0.0009009,              0.0009009,              0.0009009
                     12,                 1.1962,                 1.3162,                 1.7119,                0.63045,                0.65502,                0.65565,                0.31606,                 1.3952,                 1.2747,                 1.9008,             0.00089099,             0.00089099,             0.00089099
                     13,                 1.2113,                 1.3016,                 1.7221,                0.58227,                0.63988,                0.61548,                0.31093,                 1.3921,                 1.2482,                 1.8625,             0.00088108,             0.00088108,             0.00088108
                     14,                 1.1888,                 1.2898,                 1.6897,                0.71411,                0.57639,                0.65045,                0.32404,                  1.368,                 1.2833,                 1.9118,             0.00087116,             0.00087116,             0.00087116
                     15,                 1.2065,                 1.2873,                 1.7176,                0.69478,                0.55886,                0.67704,                0.35468,                 1.3195,                 1.2039,                 1.8109,             0.00086125,             0.00086125,             0.00086125
                     16,                 1.1769,                 1.2608,                 1.6842,                0.73163,                0.55144,                0.59923,                 0.3147,                 1.3146,                 1.3447,                 1.8365,             0.00085134,             0.00085134,             0.00085134
                     17,                   1.17,                 1.2322,                 1.6755,                 0.5697,                0.64044,                0.65149,                0.33582,                  1.352,                 1.2596,                  1.853,             0.00084143,             0.00084143,             0.00084143
                     18,                 1.1873,                 1.2423,                 1.7058,                0.75572,                0.55808,                0.66306,                0.33031,                 1.3875,                 1.2134,                 1.8471,             0.00083152,             0.00083152,             0.00083152
                     19,                 1.1668,                 1.2026,                 1.6662,                0.61071,                0.67351,                0.66772,                0.34852,                 1.2821,                 1.2004,                 1.8274,             0.00082161,             0.00082161,             0.00082161
                     20,                 1.1576,                 1.1814,                   1.67,                0.66237,                0.64226,                0.67101,                0.34566,                 1.3198,                 1.1949,                 1.8546,              0.0008117,              0.0008117,              0.0008117
                     21,                 1.1542,                 1.1909,                 1.6724,                0.60711,                 0.6389,                0.64388,                0.34033,                 1.3263,                 1.2036,                 1.8631,             0.00080179,             0.00080179,             0.00080179
                     22,                 1.1538,                 1.1769,                 1.6811,                0.73068,                0.59582,                0.66003,                0.34159,                   1.38,                 1.1916,                 1.8581,             0.00079188,             0.00079188,             0.00079188
                     23,                 1.1622,                 1.1704,                 1.6692,                0.51615,                0.68687,                0.65779,                0.33173,                 1.3536,                 1.1743,                 1.8373,             0.00078197,             0.00078197,             0.00078197
                     24,                 1.1341,                 1.1684,                 1.6569,                0.61263,                  0.679,                0.69869,                0.36469,                 1.3167,                 1.1476,                 1.8189,             0.00077206,             0.00077206,             0.00077206
                     25,                 1.1356,                 1.1608,                 1.6724,                0.64674,                0.68764,                0.71354,                0.37988,                 1.3104,                  1.126,                 1.8174,             0.00076215,             0.00076215,             0.00076215
                     26,                 1.1426,                 1.1605,                 1.6475,                0.67095,                0.67068,                0.71012,                0.35805,                 1.3538,                  1.136,                 1.8411,             0.00075224,             0.00075224,             0.00075224
                     27,                 1.1537,                 1.1386,                 1.6704,                0.60657,                0.65905,                0.67853,                0.34797,                 1.3192,                 1.0971,                 1.7944,             0.00074233,             0.00074233,             0.00074233
                     28,                 1.1177,                 1.1159,                 1.6356,                0.53303,                0.60133,                0.58882,                0.29884,                 1.4324,                 1.2609,                 1.9344,             0.00073242,             0.00073242,             0.00073242
                     29,                 1.1238,                 1.0871,                 1.6224,                0.70934,                0.66468,                0.71195,                0.37366,                 1.3461,                  1.031,                  1.862,             0.00072251,             0.00072251,             0.00072251
                     30,                 1.1298,                 1.1072,                 1.6458,                0.58736,                0.65908,                0.63603,                0.32921,                 1.3883,                 1.1731,                 1.8795,              0.0007126,              0.0007126,              0.0007126
                     31,                 1.1329,                 1.1159,                 1.6469,                0.58492,                0.66738,                 0.6346,                0.32513,                 1.3987,                  1.178,                 1.8833,             0.00070269,             0.00070269,             0.00070269
                     32,                 1.1122,                 1.0807,                 1.6194,                0.65291,                0.65948,                0.70475,                 0.3784,                 1.3337,                 1.0878,                 1.8338,             0.00069278,             0.00069278,             0.00069278
                     33,                 1.1116,                 1.0789,                 1.6269,                0.63029,                0.70199,                0.71655,                0.38189,                 1.2987,                 1.0608,                 1.7928,             0.00068287,             0.00068287,             0.00068287
                     34,                 1.0992,                 1.0654,                 1.6063,                0.67648,                0.67561,                0.70468,                0.35213,                 1.3997,                 1.0889,                 1.8511,             0.00067296,             0.00067296,             0.00067296
                     35,                 1.0966,                 1.0649,                 1.6105,                0.66047,                0.68085,                0.71732,                 0.3711,                 1.2983,                 1.0781,                 1.7766,             0.00066305,             0.00066305,             0.00066305
                     36,                  1.081,                 1.0352,                 1.5978,                0.68126,                0.68945,                0.71088,                0.37428,                 1.3283,                 1.0772,                 1.8342,             0.00065314,             0.00065314,             0.00065314
                     37,                   1.09,                 1.0391,                 1.6083,                0.70812,                0.65214,                0.71538,                 0.3727,                 1.3281,                 1.0967,                 1.8345,             0.00064323,             0.00064323,             0.00064323
                     38,                 1.0937,                 1.0575,                 1.6172,                0.60245,                  0.704,                0.71009,                0.37336,                  1.324,                 1.0613,                 1.8082,             0.00063332,             0.00063332,             0.00063332
                     39,                 1.0923,                 1.0469,                 1.6122,                0.65327,                0.69046,                0.72395,                0.39148,                 1.3241,                 1.0541,                 1.8304,              0.0006234,              0.0006234,              0.0006234
                     40,                 1.0911,                 1.0351,                 1.5924,                0.66853,                0.70042,                0.72835,                0.39659,                  1.298,                 1.0241,                  1.775,             0.00061349,             0.00061349,             0.00061349
                     41,                  1.072,                 1.0303,                 1.6037,                0.63211,                0.61971,                0.68685,                0.36259,                 1.3209,                 1.0751,                 1.8252,             0.00060358,             0.00060358,             0.00060358
                     42,                 1.0938,                 1.0285,                  1.603,                0.65212,                0.65759,                0.69549,                0.38079,                 1.3018,                 1.0542,                 1.7838,             0.00059367,             0.00059367,             0.00059367
                     43,                 1.0735,                 1.0241,                 1.6021,                0.65503,                0.70412,                 0.7268,                0.39898,                 1.2946,                 1.0011,                 1.7797,             0.00058376,             0.00058376,             0.00058376
                     44,                 1.0813,                 1.0166,                 1.5919,                0.67936,                0.71587,                0.73586,                0.40509,                 1.3189,                 1.0121,                 1.8245,             0.00057385,             0.00057385,             0.00057385
                     45,                 1.0711,                0.97691,                 1.5771,                0.64545,                0.70383,                0.73256,                0.40609,                  1.307,                 1.0093,                 1.8049,             0.00056394,             0.00056394,             0.00056394
                     46,                 1.0822,                0.99927,                 1.5744,                0.66069,                0.69886,                0.72728,                 0.3909,                 1.3115,                 1.0239,                 1.7969,             0.00055403,             0.00055403,             0.00055403
                     47,                 1.0709,                 1.0025,                 1.5815,                0.71039,                0.70684,                0.74509,                0.39817,                 1.3211,                0.97472,                 1.8018,             0.00054412,             0.00054412,             0.00054412
                     48,                 1.0496,                0.98443,                 1.5758,                0.63715,                0.71251,                0.71192,                0.38888,                 1.2858,                 1.0199,                 1.7957,             0.00053421,             0.00053421,             0.00053421
                     49,                 1.0639,                 0.9835,                 1.5736,                0.67523,                0.69424,                0.73761,                0.40654,                 1.2564,                 1.0072,                 1.7603,              0.0005243,              0.0005243,              0.0005243
