                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88411,                0.79964,                 1.5511,                0.72298,                0.72565,                 0.7583,                0.44075,                 1.1605,                0.87898,                 1.8503,             0.00033484,             0.00033484,             0.00033484
                      2,                0.88991,                0.78856,                 1.5392,                0.70211,                 0.7384,                0.76711,                0.44507,                 1.1609,                0.86766,                 1.8467,             0.00067086,             0.00067086,             0.00067086
                      3,                0.86805,                0.79986,                 1.5412,                0.71901,                0.70236,                0.75377,                0.43382,                 1.1896,                0.88625,                 1.8988,             0.00099008,             0.00099008,             0.00099008
                      4,                0.88265,                 0.7898,                 1.5312,                0.74225,                0.70372,                0.75738,                0.42939,                 1.1618,                0.89732,                 1.8509,             0.00098512,             0.00098512,             0.00098512
                      5,                0.88119,                0.78576,                 1.5329,                0.75275,                0.72091,                0.75983,                0.43401,                 1.1756,                0.87942,                 1.8679,             0.00098016,             0.00098016,             0.00098016
                      6,                0.89014,                0.79329,                 1.5365,                0.75808,                 0.6965,                0.75381,                0.42934,                 1.1881,                0.88678,                 1.8865,             0.00097521,             0.00097521,             0.00097521
                      7,                0.88751,                0.78817,                  1.543,                0.71543,                0.72069,                0.75596,                0.42639,                 1.1851,                0.90012,                 1.8875,             0.00097025,             0.00097025,             0.00097025
                      8,                0.88056,                0.78258,                  1.533,                0.70354,                0.71874,                0.76009,                0.41429,                 1.2137,                0.93019,                 1.9086,             0.00096529,             0.00096529,             0.00096529
                      9,                0.88317,                0.77859,                 1.5338,                0.74347,                0.70943,                0.77219,                0.43878,                 1.1744,                 0.8898,                 1.8721,             0.00096033,             0.00096033,             0.00096033
                     10,                0.88089,                0.78551,                 1.5343,                0.66168,                0.66444,                0.69021,                0.35941,                 1.3131,                 1.1548,                 2.0627,             0.00095537,             0.00095537,             0.00095537
                     11,                0.86913,                0.77933,                 1.5194,                0.72025,                0.72649,                0.76156,                 0.4344,                 1.1751,                0.88439,                 1.8774,             0.00095041,             0.00095041,             0.00095041
                     12,                 0.8596,                0.77784,                 1.5113,                0.72841,                0.72089,                0.76189,                0.43428,                 1.1752,                0.86499,                 1.8743,             0.00094545,             0.00094545,             0.00094545
                     13,                0.87336,                0.78301,                 1.5203,                0.69118,                0.73254,                0.75081,                 0.4236,                 1.1757,                0.88117,                 1.8844,             0.00094049,             0.00094049,             0.00094049
                     14,                0.87283,                0.76993,                 1.5275,                0.74881,                 0.7188,                0.76884,                0.44702,                 1.1597,                 0.8539,                 1.8618,             0.00093553,             0.00093553,             0.00093553
                     15,                0.86798,                0.77639,                 1.5203,                0.72865,                0.70941,                 0.7599,                0.42787,                 1.1837,                0.87768,                 1.9044,             0.00093058,             0.00093058,             0.00093058
                     16,                0.86167,                 0.7715,                 1.5155,                0.74847,                0.72201,                0.76312,                0.44358,                 1.1614,                0.86296,                 1.8718,             0.00092562,             0.00092562,             0.00092562
                     17,                0.87914,                0.76896,                 1.5207,                0.73408,                0.72509,                0.75861,                0.42647,                 1.1824,                 0.8756,                 1.8944,             0.00092066,             0.00092066,             0.00092066
                     18,                0.86117,                0.76408,                 1.5179,                 0.7522,                0.71607,                0.76378,                0.43757,                 1.1577,                0.88512,                 1.8623,              0.0009157,              0.0009157,              0.0009157
                     19,                0.85983,                0.75683,                 1.5104,                0.72674,                0.73032,                0.75587,                 0.4327,                 1.1985,                0.87618,                 1.9092,             0.00091074,             0.00091074,             0.00091074
                     20,                0.86898,                0.77053,                 1.5152,                0.75157,                0.70978,                0.75667,                0.43323,                 1.1831,                0.87292,                 1.8939,             0.00090578,             0.00090578,             0.00090578
                     21,                0.83884,                0.74306,                 1.4893,                0.74777,                0.73001,                0.76861,                0.43693,                 1.1819,                0.86123,                 1.8988,             0.00090082,             0.00090082,             0.00090082
                     22,                0.85323,                 0.7572,                 1.5032,                0.71765,                0.70313,                0.74522,                0.42496,                 1.1882,                0.89437,                 1.9082,             0.00089586,             0.00089586,             0.00089586
                     23,                0.85962,                0.75195,                 1.5198,                0.70441,                0.74862,                0.76923,                0.43922,                 1.1647,                0.86206,                 1.8774,              0.0008909,              0.0008909,              0.0008909
                     24,                0.85232,                0.76883,                 1.5092,                0.69684,                 0.6776,                0.69875,                0.38877,                 1.2648,                 1.0548,                 2.0329,             0.00088595,             0.00088595,             0.00088595
                     25,                0.84121,                0.74514,                  1.493,                0.74564,                0.71882,                0.76092,                 0.4406,                 1.1639,                0.85883,                 1.8692,             0.00088099,             0.00088099,             0.00088099
                     26,                0.85542,                0.75424,                 1.5133,                0.68936,                 0.7536,                0.74643,                0.42057,                 1.1936,                0.88046,                 1.9129,             0.00087603,             0.00087603,             0.00087603
                     27,                0.85159,                0.74738,                 1.4961,                0.68991,                0.72394,                0.74517,                0.42195,                 1.2066,                0.88674,                 1.9298,             0.00087107,             0.00087107,             0.00087107
                     28,                0.84498,                0.75517,                  1.501,                0.75221,                 0.6731,                0.74033,                0.42624,                 1.2171,                0.87104,                  1.953,             0.00086611,             0.00086611,             0.00086611
                     29,                0.84046,                0.74333,                 1.4965,                0.70119,                0.71708,                0.74418,                0.42188,                 1.2145,                0.87852,                  1.947,             0.00086115,             0.00086115,             0.00086115
                     30,                0.85916,                 0.7572,                 1.5081,                0.72386,                0.69517,                0.73168,                 0.3925,                 1.2372,                0.97151,                 1.9895,             0.00085619,             0.00085619,             0.00085619
                     31,                0.83736,                0.74347,                 1.4955,                 0.7226,                0.69248,                0.74368,                0.41801,                 1.2045,                 0.9173,                 1.9311,             0.00085123,             0.00085123,             0.00085123
                     32,                0.82417,                0.72615,                 1.4728,                0.73812,                 0.7191,                0.75936,                0.44005,                 1.1739,                0.85768,                 1.8788,             0.00084627,             0.00084627,             0.00084627
                     33,                 0.8457,                0.72959,                 1.4862,                0.70787,                0.71374,                0.74078,                0.42161,                 1.1881,                0.89036,                  1.932,             0.00084132,             0.00084132,             0.00084132
                     34,                0.85821,                0.75887,                 1.5049,                0.73312,                0.68939,                0.74957,                0.42176,                 1.2125,                0.88982,                 1.9337,             0.00083636,             0.00083636,             0.00083636
                     35,                0.83521,                0.73146,                 1.4923,                 0.7145,                0.70942,                0.73393,                0.40627,                 1.2275,                0.90436,                 1.9508,              0.0008314,              0.0008314,              0.0008314
                     36,                0.84413,                0.74691,                 1.4789,                0.73908,                 0.6976,                0.74887,                0.42285,                 1.1986,                0.90813,                 1.9368,             0.00082644,             0.00082644,             0.00082644
                     37,                0.82135,                0.72477,                 1.4744,                0.75174,                0.72274,                0.76646,                0.43735,                 1.2001,                 0.8774,                 1.9312,             0.00082148,             0.00082148,             0.00082148
                     38,                0.83511,                0.73107,                 1.4849,                0.72199,                0.68145,                0.72546,                0.39284,                 1.2945,                0.97821,                 2.0623,             0.00081652,             0.00081652,             0.00081652
                     39,                0.83613,                0.72742,                 1.4897,                 0.7273,                0.73722,                0.74519,                 0.4201,                 1.2085,                0.87254,                 1.9517,             0.00081156,             0.00081156,             0.00081156
                     40,                0.82522,                0.71247,                 1.4677,                0.72215,                0.73306,                0.76185,                0.43439,                 1.2102,                0.86229,                 1.9541,              0.0008066,              0.0008066,              0.0008066
                     41,                0.83166,                0.73816,                 1.4886,                0.64012,                0.68967,                 0.6915,                0.37721,                 1.2964,                 1.0438,                 2.0643,             0.00080164,             0.00080164,             0.00080164
                     42,                0.82832,                 0.7236,                 1.4731,                0.73904,                0.70432,                0.75596,                0.43371,                 1.1868,                0.88227,                 1.9191,             0.00079669,             0.00079669,             0.00079669
                     43,                 0.8179,                0.69669,                  1.452,                0.71845,                0.71707,                0.74136,                0.42187,                 1.2073,                0.90817,                 1.9603,             0.00079173,             0.00079173,             0.00079173
                     44,                0.82509,                0.72567,                 1.4778,                0.74335,                0.69874,                0.75605,                0.43062,                 1.1911,                0.86809,                 1.9217,             0.00078677,             0.00078677,             0.00078677
                     45,                0.81395,                0.69955,                  1.466,                0.75646,                0.70803,                0.76646,                0.43731,                 1.1926,                0.86662,                 1.9404,             0.00078181,             0.00078181,             0.00078181
                     46,                0.82632,                0.72724,                 1.4741,                0.73991,                0.71124,                0.74653,                0.42257,                 1.1913,                0.87105,                 1.9342,             0.00077685,             0.00077685,             0.00077685
                     47,                0.81998,                0.70968,                 1.4691,                0.70944,                0.75705,                0.75462,                0.42831,                 1.1889,                0.88566,                 1.9224,             0.00077189,             0.00077189,             0.00077189
                     48,                0.80468,                0.69683,                 1.4498,                0.72021,                0.74272,                0.75194,                0.42743,                 1.2038,                0.88975,                 1.9545,             0.00076693,             0.00076693,             0.00076693
