                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73388,                 2.1731,                 1.6503,                0.53876,                0.30982,                0.27791,                0.11526,                0.83088,                 1.8728,                 1.7133,             0.00035922,             0.00035922,             0.00035922
                      2,                0.68959,                 1.3919,                 1.5532,                0.57206,                0.29562,                0.38714,                0.18165,                0.79113,                 1.5272,                 1.8263,              0.0007197,              0.0007197,              0.0007197
                      3,                0.66829,                 1.3108,                 1.5613,                0.44765,                0.41901,                0.38107,                 0.1696,                0.75584,                 1.4278,                 1.7562,             0.00099005,             0.00099005,             0.00099005
                      4,                0.65081,                 1.2584,                 1.5273,                0.41907,                0.48011,                0.48232,                0.20936,                0.75733,                 1.3461,                 1.7733,             0.00098507,             0.00098507,             0.00098507
                      5,                 0.6381,                 1.2107,                 1.4995,                0.70277,                0.44404,                0.51992,                0.25601,                0.71386,                 1.2183,                 1.7366,             0.00098009,             0.00098009,             0.00098009
                      6,                0.62952,                 1.1694,                  1.476,                0.49612,                 0.5803,                0.61393,                0.29117,                0.67244,                 1.1118,                 1.5856,             0.00097512,             0.00097512,             0.00097512
                      7,                0.62976,                 1.1547,                 1.4796,                0.53671,                0.52701,                0.56458,                0.28051,                0.69189,                 1.1591,                 1.5993,             0.00097014,             0.00097014,             0.00097014
                      8,                0.61803,                 1.1496,                 1.4719,                 0.3892,                0.52206,                0.51046,                 0.2382,                0.69266,                 1.3008,                  1.651,             0.00096516,             0.00096516,             0.00096516
                      9,                0.62024,                  1.137,                 1.4575,                0.52162,                0.55861,                0.61593,                0.29971,                0.67434,                 1.1944,                 1.5814,             0.00096019,             0.00096019,             0.00096019
                     10,                0.61214,                 1.1123,                 1.4506,                0.60763,                0.37759,                0.43311,                0.19836,                0.79734,                 1.3906,                  1.694,             0.00095521,             0.00095521,             0.00095521
                     11,                0.60585,                 1.1042,                 1.4433,                0.61879,                0.55662,                0.65769,                0.33188,                0.65197,                 1.0508,                 1.5208,             0.00095024,             0.00095024,             0.00095024
                     12,                0.59834,                 1.0765,                 1.4417,                 0.6771,                0.56272,                0.62724,                0.33676,                0.64833,                 1.0395,                  1.551,             0.00094526,             0.00094526,             0.00094526
                     13,                0.60034,                  1.054,                  1.438,                0.54054,                0.60078,                0.60847,                0.30509,                0.66465,                 1.0755,                 1.5431,             0.00094028,             0.00094028,             0.00094028
                     14,                0.59946,                 1.0659,                  1.427,                0.47996,                0.57893,                0.57959,                  0.294,                0.66315,                 1.1482,                  1.524,             0.00093531,             0.00093531,             0.00093531
                     15,                0.58761,                 1.0361,                 1.4049,                0.54491,                0.57272,                 0.5826,                0.29671,                0.66897,                 1.0837,                 1.5624,             0.00093033,             0.00093033,             0.00093033
                     16,                0.60166,                 1.0439,                  1.438,                0.72375,                0.55511,                0.60718,                0.33476,                0.64311,                 1.0813,                 1.5145,             0.00092535,             0.00092535,             0.00092535
                     17,                0.59271,                 1.0223,                 1.4173,                0.72766,                0.51729,                0.60525,                0.29424,                  0.686,                 1.1131,                 1.6068,             0.00092038,             0.00092038,             0.00092038
                     18,                0.59043,                 1.0309,                  1.425,                0.68414,                0.59686,                0.66065,                0.35322,                0.62145,                 1.0011,                 1.4706,              0.0009154,              0.0009154,              0.0009154
                     19,                0.59003,                 1.0165,                 1.4168,                0.63372,                0.56356,                0.63853,                0.33363,                 0.6333,                 1.0144,                 1.5059,             0.00091042,             0.00091042,             0.00091042
                     20,                0.59037,                 1.0361,                 1.4265,                0.57476,                0.64909,                0.66217,                0.33018,                0.65892,                 1.0626,                 1.5205,             0.00090545,             0.00090545,             0.00090545
                     21,                0.58378,                0.98681,                 1.4058,                0.58503,                0.59506,                0.64854,                0.34227,                0.64575,                 1.0044,                  1.503,             0.00090047,             0.00090047,             0.00090047
                     22,                0.58913,                 1.0022,                 1.4204,                0.56972,                0.59224,                0.61679,                0.32119,                0.63671,                 1.0203,                  1.485,             0.00089549,             0.00089549,             0.00089549
                     23,                0.57769,                0.99703,                 1.4094,                0.62863,                0.57464,                0.63672,                0.32869,                0.65428,                 1.0393,                 1.5507,             0.00089052,             0.00089052,             0.00089052
                     24,                0.57618,                0.98063,                 1.4039,                 0.5538,                0.64826,                0.66004,                0.35556,                0.61496,                 0.9785,                 1.4859,             0.00088554,             0.00088554,             0.00088554
                     25,                0.57512,                0.98213,                 1.3986,                 0.6263,                0.64431,                0.65334,                0.34478,                0.63645,                0.98675,                 1.4873,             0.00088057,             0.00088057,             0.00088057
                     26,                   0.58,                0.96295,                 1.4007,                0.60818,                0.58077,                0.63742,                0.33044,                0.65079,                 1.0663,                 1.5441,             0.00087559,             0.00087559,             0.00087559
                     27,                0.57618,                0.97201,                 1.3914,                0.56168,                0.63798,                0.63865,                0.31272,                0.66804,                 1.0257,                 1.5944,             0.00087061,             0.00087061,             0.00087061
                     28,                0.57414,                 0.9661,                 1.4019,                0.53097,                0.65963,                0.65254,                0.34558,                0.64545,                 0.9642,                 1.4649,             0.00086564,             0.00086564,             0.00086564
                     29,                0.57968,                0.96169,                 1.3979,                0.59136,                 0.5868,                0.64293,                0.32655,                0.63885,                  1.021,                 1.4488,             0.00086066,             0.00086066,             0.00086066
                     30,                0.58001,                0.96285,                    1.4,                 0.5672,                0.67576,                0.67315,                0.33657,                 0.6612,                 0.9948,                 1.5471,             0.00085568,             0.00085568,             0.00085568
                     31,                0.56762,                0.95253,                 1.3852,                0.74903,                0.57065,                0.63372,                0.33694,                 0.6583,                0.99228,                 1.5094,             0.00085071,             0.00085071,             0.00085071
                     32,                0.57396,                 0.9389,                 1.3908,                0.59348,                0.67196,                0.69664,                0.36375,                0.64034,                0.95034,                 1.4811,             0.00084573,             0.00084573,             0.00084573
                     33,                0.56273,                0.93428,                 1.3769,                0.67676,                0.61512,                0.67437,                0.36343,                0.63113,                0.99545,                 1.4693,             0.00084075,             0.00084075,             0.00084075
                     34,                0.56853,                0.93223,                 1.3769,                0.60106,                0.69681,                0.70607,                0.37926,                0.62264,                0.94707,                 1.4924,             0.00083578,             0.00083578,             0.00083578
                     35,                0.56151,                 0.9325,                 1.3858,                0.65201,                0.64954,                0.69348,                0.37858,                0.61632,                0.94111,                   1.47,              0.0008308,              0.0008308,              0.0008308
                     36,                0.56117,                0.91912,                 1.3776,                0.48767,                0.60445,                0.57971,                0.29683,                0.69702,                 1.0608,                 1.5671,             0.00082582,             0.00082582,             0.00082582
                     37,                0.56339,                0.93434,                 1.3801,                0.60976,                0.69576,                0.70115,                0.37772,                0.62262,                0.94737,                 1.4825,             0.00082085,             0.00082085,             0.00082085
                     38,                0.56021,                0.93859,                 1.3916,                0.64796,                0.59674,                0.65909,                0.34563,                0.65612,                0.99942,                 1.5296,             0.00081587,             0.00081587,             0.00081587
                     39,                0.55779,                0.91972,                 1.3684,                0.64888,                0.69959,                0.70601,                0.38006,                0.63251,                0.93329,                 1.4957,             0.00081089,             0.00081089,             0.00081089
                     40,                0.55582,                0.90007,                 1.3656,                0.55536,                0.62208,                0.62669,                0.32054,                0.65837,                 1.0111,                 1.5289,             0.00080592,             0.00080592,             0.00080592
                     41,                0.55585,                0.91123,                 1.3695,                0.52463,                0.52661,                0.57678,                0.29193,                 0.7015,                 1.0839,                 1.6071,             0.00080094,             0.00080094,             0.00080094
                     42,                0.55562,                0.89839,                 1.3616,                0.56499,                0.65024,                0.65088,                0.33088,                 0.6673,                 1.0292,                 1.5218,             0.00079597,             0.00079597,             0.00079597
                     43,                0.55017,                0.90201,                 1.3565,                0.61872,                0.65543,                0.66738,                0.36164,                0.63828,                0.95501,                 1.5167,             0.00079099,             0.00079099,             0.00079099
                     44,                0.55262,                0.89491,                 1.3643,                 0.5786,                  0.654,                0.67546,                0.36414,                0.63443,                 0.9334,                 1.4968,             0.00078601,             0.00078601,             0.00078601
                     45,                0.55004,                0.90333,                 1.3682,                0.64451,                0.63588,                0.70303,                0.39121,                0.61171,                0.90893,                 1.4705,             0.00078104,             0.00078104,             0.00078104
                     46,                0.55898,                0.89623,                  1.365,                0.63548,                0.63884,                0.67816,                0.37134,                0.62304,                 0.9327,                 1.4882,             0.00077606,             0.00077606,             0.00077606
                     47,                0.54251,                0.88014,                 1.3419,                0.68598,                  0.688,                0.73524,                0.40194,                0.62723,                0.86845,                 1.4833,             0.00077108,             0.00077108,             0.00077108
                     48,                0.54792,                0.88103,                 1.3456,                0.72526,                0.59731,                0.66887,                0.35682,                0.63334,                0.97485,                 1.4953,             0.00076611,             0.00076611,             0.00076611
                     49,                0.54553,                0.89095,                 1.3488,                0.62688,                0.66537,                0.68498,                 0.3681,                0.63344,                0.92533,                 1.4977,             0.00076113,             0.00076113,             0.00076113
                     50,                0.55213,                0.87545,                 1.3647,                0.61857,                0.66797,                0.69076,                 0.3723,                0.62096,                0.91826,                 1.4787,             0.00075615,             0.00075615,             0.00075615
                     51,                0.55533,                0.88978,                 1.3659,                0.58663,                0.63396,                0.64632,                0.33815,                0.65988,                0.97402,                 1.5316,             0.00075118,             0.00075118,             0.00075118
                     52,                0.54821,                0.89759,                  1.359,                0.69988,                0.67633,                0.72454,                 0.3986,                0.61381,                0.88851,                 1.4656,              0.0007462,              0.0007462,              0.0007462
                     53,                0.54425,                0.88426,                 1.3441,                0.62461,                0.67553,                 0.7024,                0.38045,                0.63954,                0.91812,                 1.4874,             0.00074122,             0.00074122,             0.00074122
                     54,                0.54571,                0.87735,                 1.3487,                0.59872,                0.67749,                0.69638,                0.36815,                0.64311,                0.92633,                 1.5005,             0.00073625,             0.00073625,             0.00073625
                     55,                0.54667,                0.88005,                  1.347,                0.66082,                0.70671,                0.74186,                0.40742,                0.63322,                0.87654,                 1.4827,             0.00073127,             0.00073127,             0.00073127
                     56,                0.54432,                0.87283,                 1.3495,                0.63913,                0.60996,                0.66431,                0.35574,                0.64786,                0.94144,                 1.5324,              0.0007263,              0.0007263,              0.0007263
                     57,                0.54847,                0.86439,                 1.3463,                0.66956,                0.63485,                0.65658,                0.34581,                0.67655,                 1.0086,                 1.5656,             0.00072132,             0.00072132,             0.00072132
                     58,                0.54407,                0.85228,                  1.346,                0.59428,                0.66635,                0.68771,                0.35551,                0.63452,                0.93629,                  1.496,             0.00071634,             0.00071634,             0.00071634
                     59,                0.54067,                0.86542,                 1.3409,                0.68678,                0.63309,                0.69567,                0.37149,                0.63933,                 0.8988,                 1.4794,             0.00071137,             0.00071137,             0.00071137
                     60,                0.54047,                0.87477,                 1.3405,                0.67322,                0.56957,                0.66548,                0.36479,                0.64295,                0.95229,                 1.4939,             0.00070639,             0.00070639,             0.00070639
                     61,                0.54449,                0.85933,                 1.3466,                0.56375,                0.65659,                0.66446,                0.36691,                0.62968,                0.91991,                 1.4693,             0.00070141,             0.00070141,             0.00070141
                     62,                0.53462,                0.84122,                 1.3273,                0.69823,                0.66644,                0.73446,                0.40272,                0.62624,                0.87394,                 1.4562,             0.00069644,             0.00069644,             0.00069644
                     63,                  0.539,                0.84697,                 1.3302,                0.64502,                0.68787,                 0.7134,                0.39015,                0.62966,                0.87996,                  1.493,             0.00069146,             0.00069146,             0.00069146
                     64,                0.53732,                 0.8425,                 1.3333,                0.56412,                0.65042,                0.65817,                 0.3491,                0.65972,                0.96539,                 1.5366,             0.00068648,             0.00068648,             0.00068648
                     65,                0.53618,                0.83857,                  1.345,                0.66423,                0.68974,                0.71946,                0.40993,                0.60362,                0.85592,                 1.4526,             0.00068151,             0.00068151,             0.00068151
                     66,                0.53846,                0.83176,                 1.3437,                0.71157,                0.65841,                0.71999,                0.38989,                0.62788,                 0.8613,                 1.4897,             0.00067653,             0.00067653,             0.00067653
                     67,                0.53608,                0.85453,                  1.349,                0.68977,                0.68856,                0.72535,                0.40534,                0.62375,                0.87774,                 1.5021,             0.00067155,             0.00067155,             0.00067155
                     68,                0.54079,                0.84104,                 1.3493,                0.62491,                0.68875,                0.69341,                0.37053,                0.62433,                0.92658,                 1.4658,             0.00066658,             0.00066658,             0.00066658
                     69,                  0.536,                0.83862,                 1.3343,                0.63428,                0.68356,                0.70634,                0.39128,                0.62651,                0.91578,                 1.4913,              0.0006616,              0.0006616,              0.0006616
                     70,                0.53687,                0.82684,                 1.3368,                0.67501,                0.68797,                0.73323,                0.39876,                 0.6164,                0.85837,                 1.4777,             0.00065662,             0.00065662,             0.00065662
                     71,                0.53508,                0.82396,                 1.3299,                0.64445,                0.70445,                0.74405,                0.41661,                0.60263,                 0.8533,                  1.449,             0.00065165,             0.00065165,             0.00065165
                     72,                0.53353,                0.82784,                 1.3256,                0.68807,                0.69128,                0.73884,                0.39565,                0.62138,                0.85051,                 1.4538,             0.00064667,             0.00064667,             0.00064667
                     73,                0.53409,                0.81716,                 1.3231,                0.60378,                0.60166,                0.64864,                0.35553,                0.64198,                0.96933,                 1.4696,              0.0006417,              0.0006417,              0.0006417
                     74,                0.53048,                0.80271,                 1.3183,                0.62754,                0.64523,                 0.6818,                0.37382,                0.63067,                 0.8953,                 1.4774,             0.00063672,             0.00063672,             0.00063672
                     75,                0.52441,                0.80309,                 1.3171,                0.66239,                0.67278,                0.71071,                0.40606,                0.60168,                  0.868,                 1.4521,             0.00063174,             0.00063174,             0.00063174
