                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.286,                  4.016,                 3.4975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0704,              0.0032889,              0.0032889
                      2,                 2.8706,                    3.7,                 3.0078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040181,              0.0064037,              0.0064037
                      3,                 2.6845,                 3.5006,                 2.8233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097429,              0.0092985,              0.0092985
                      4,                 2.5238,                 3.3921,                 2.7459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      5,                 2.4194,                 3.2434,                 2.6558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                      6,                 2.3552,                  3.135,                  2.586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                      7,                 2.2707,                 3.0004,                 2.5172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      8,                 2.2141,                 2.9085,                 2.4345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                      9,                 2.1842,                 2.8073,                 2.3971,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 2.1141,                 2.6726,                 2.3245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     11,                 2.1186,                 2.6505,                  2.337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.0144,                 2.5962,                 2.2712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     13,                 1.9696,                 2.5184,                 2.2057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     14,                 1.9493,                 2.4214,                 2.1859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     15,                 1.9268,                 2.3916,                 2.1665,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     16,                 1.9019,                 2.3542,                 2.1374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     17,                  1.875,                 2.2986,                 2.1262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     18,                 1.8764,                 2.3195,                 2.1371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     19,                 1.8389,                 2.2215,                   2.09,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     20,                 1.8389,                 2.2153,                  2.088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     21,                 1.8804,                 2.2598,                 2.1323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.8657,                   2.17,                  2.096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     23,                 1.8391,                 2.1001,                 2.0982,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     24,                 1.8256,                 2.0434,                 2.0728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     25,                  1.793,                 2.0494,                  2.043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     26,                 1.7712,                 1.9646,                  2.054,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     27,                  1.773,                 1.9715,                 2.0403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     28,                 1.7483,                 1.9163,                 2.0191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     29,                 1.7323,                  1.898,                 1.9881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00076,                0.00076,                0.00076
                     30,                 1.7026,                 1.8452,                 1.9729,                0.66707,                0.51038,                0.54618,                0.25509,                  1.769,                 1.8183,                  1.997,                0.00043,                0.00043,                0.00043
