fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.43958,0.00662,0.00822,0.86043,0.00045,2.95157,0.79776,5.84491,0.40217,1.7016,0.01785,0.50538,0.38222,0.0,0.09286,0.50545,0.0,0.0,0.0,0.38949,0.0,0.87544,0.0,0.0
0.44674,0.00527,0.00603,0.86043,0.00045,3.14299,0.76159,6.70655,0.40408,2.23989,0.01785,0.50538,0.38222,0.0,0.08129,0.50545,0.0,0.0,0.0,0.3894,0.0,1.0,0.0,0.0
0.46636,0.00457,0.00521,0.8591,0.00047,3.84946,0.82328,4.79562,0.42091,2.23989,0.01785,0.57675,0.44683,0.0,0.06697,0.42894,0.0,0.0,0.0,0.3142,0.0,0.91792,0.0,0.0
0.45662,0.00535,0.00374,0.78576,0.0005,3.76656,0.63059,4.79562,0.38589,2.87003,0.01785,0.48216,0.44683,0.0,0.06697,0.45767,0.0,0.0,0.0,0.30458,0.0,1.0,0.0,0.0
0.45544,0.0053,0.00374,0.78149,0.0005,3.74746,0.63059,4.75655,0.3877,2.87003,0.01774,0.48725,0.44638,0.0,0.06697,0.45767,0.0,0.0,0.0,0.3049,0.0,1.0,0.0,0.0
0.46771,0.00469,0.00532,0.86515,0.00047,3.86702,0.82328,4.77009,0.42091,2.23891,0.01792,0.5564,0.43642,0.0,0.06885,0.44643,0.0,0.0,0.0,0.31042,0.0,0.92124,0.0,0.0
0.45541,0.00463,0.00528,0.87401,0.00047,3.86702,0.84934,4.73313,0.42144,2.1989,0.01747,0.56505,0.42936,0.0,0.06885,0.44355,0.0,0.0,0.0,0.31334,0.0,0.92124,0.0,0.0
0.47643,0.00376,0.00605,0.89556,0.00044,2.88616,0.82328,4.30674,0.42828,2.25653,0.01835,0.57767,0.34759,0.0,0.07782,0.43712,0.0,0.0,0.0,0.31042,0.0,0.92124,0.0,0.0
0.47069,0.00422,0.00331,0.79803,0.0005,3.76656,0.63059,4.08592,0.33316,2.85503,0.01274,0.48216,0.45521,0.0,0.05164,0.45767,0.0,0.0,0.0,0.30458,0.0,1.0,0.0,0.0
0.45795,0.00381,0.00347,0.80715,0.00047,3.5462,0.62275,4.4275,0.33316,2.61877,0.01269,0.48216,0.45294,0.0,0.05362,0.45767,0.0,0.0,0.0,0.30099,0.0,1.0,0.0,0.0
0.46533,0.00424,0.00331,0.79633,0.0005,3.78237,0.63184,4.06398,0.33367,2.86821,0.01268,0.48179,0.4532,0.0,0.05174,0.45891,0.0,0.0,0.0,0.30389,0.0,1.0,0.0,0.0
0.46268,0.00395,0.00652,0.89556,0.00044,2.88616,0.83521,4.28348,0.42828,2.0772,0.0173,0.53201,0.34305,0.0,0.08012,0.52999,0.0,0.0,0.0,0.27025,0.0,0.92467,0.0,0.0
0.46991,0.00376,0.00657,0.89741,0.00045,2.88616,0.77747,4.30674,0.42695,2.48354,0.01835,0.53407,0.34759,0.0,0.08163,0.43712,0.0,0.0,0.0,0.31042,0.0,0.92124,0.0,0.0
0.47118,0.00375,0.00587,0.88402,0.00041,2.95821,0.78617,4.37821,0.42828,2.35397,0.01782,0.57767,0.34759,0.0,0.08371,0.44009,0.0,0.0,0.0,0.33731,0.0,0.94614,0.0,0.0
0.46406,0.00382,0.00621,0.89102,0.00042,2.76971,0.83076,4.30674,0.42339,2.25653,0.01879,0.58867,0.34368,0.0,0.07782,0.43202,0.0,0.0,0.0,0.30159,0.0,0.92124,0.0,0.0
0.46759,0.00366,0.0059,0.88069,0.0003,2.11497,0.8209,4.12983,0.51199,2.71091,0.01782,0.64393,0.34759,0.0,0.08815,0.50054,0.0,0.0,0.0,0.39402,0.0,0.95616,0.0,0.0
0.45768,0.00469,0.00241,0.80157,0.00038,3.21691,0.69283,4.98795,0.3148,2.79383,0.01628,0.47855,0.42346,0.0,0.05256,0.36114,0.0,0.0,0.0,0.32911,0.0,1.0,0.0,0.0
0.46626,0.00376,0.00685,0.87782,0.00045,2.57203,0.82328,3.66453,0.36257,2.12211,0.01875,0.57767,0.41416,0.0,0.09064,0.47278,0.0,0.0,0.0,0.35523,0.0,0.61386,0.0,0.0
0.47069,0.00406,0.00605,0.88577,0.00036,2.63495,0.77984,4.37743,0.42828,2.25653,0.0196,0.51912,0.33075,0.0,0.08515,0.35455,0.0,0.0,0.0,0.24073,0.0,0.92124,0.0,0.0
0.46971,0.00383,0.006,0.89556,0.00044,2.77081,0.85966,4.16679,0.4356,2.19479,0.0186,0.5957,0.34907,0.0,0.0789,0.45338,0.0,0.0,0.0,0.30546,0.0,0.93849,0.0,0.0
0.46894,0.00346,0.00605,0.8918,0.00044,2.88762,0.81134,4.30674,0.43899,2.25653,0.01805,0.57318,0.33735,0.0,0.07131,0.46732,0.0,0.0,0.0,0.29317,0.0,0.92124,0.0,0.0
0.47819,0.0036,0.00584,0.91619,0.00047,2.75951,0.82328,4.2741,0.42828,2.21135,0.01834,0.53392,0.34117,0.0,0.07782,0.43712,0.0,0.0,0.0,0.29897,0.0,0.90176,0.0,0.0
0.47467,0.00379,0.00584,0.95125,0.00047,2.47291,0.7165,4.41089,0.36576,1.59592,0.0133,0.6039,0.34117,0.0,0.08682,0.44777,0.0,0.0,0.0,0.29897,0.0,0.95993,0.0,0.0
0.48052,0.00383,0.00577,0.91679,0.00052,2.5862,0.7165,4.14835,0.31837,1.53484,0.01368,0.48667,0.31194,0.0,0.08279,0.44777,0.0,0.0,0.0,0.26488,0.0,0.95993,0.0,0.0
0.46364,0.00383,0.00603,0.91679,0.00062,2.5862,0.63676,4.14835,0.31837,1.53484,0.01526,0.45917,0.38333,0.0,0.08883,0.44777,0.0,0.0,0.0,0.30288,0.0,0.95993,0.0,0.0
