                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.656,                 2.7354,                 3.4722,                 0.0009,                0.20851,                0.00117,                0.00033,                 1.6781,                 3.7026,                 3.4187,               0.061368,               0.001368,               0.001368
                      2,                  1.383,                 2.3396,                 2.9447,                0.34877,                0.06412,                0.01008,                 0.0022,                 1.5559,                 9.5518,                 3.3575,               0.022187,              0.0027271,              0.0027271
                      3,                 1.2149,                 2.1094,                  2.657,                0.34627,                0.04199,                0.00997,                 0.0025,                 1.6595,                 5.2319,                 3.3806,              0.0033519,              0.0033519,              0.0033519
                      4,                 1.1327,                 2.0312,                 2.5137,                0.55823,                 0.0867,                0.05714,                0.02132,                 1.3251,                 6.4698,                 3.0701,              0.0033179,              0.0033179,              0.0033179
                      5,                 1.0558,                 1.9184,                 2.3902,                0.17911,                0.28625,                0.15272,                0.04652,                 1.0969,                  2.058,                 2.5269,              0.0032839,              0.0032839,              0.0032839
                      6,                  1.012,                 1.8211,                 2.3064,                0.25753,                0.38675,                0.23619,                0.09332,                0.98894,                 2.5482,                 2.2961,              0.0032498,              0.0032498,              0.0032498
                      7,                 0.9729,                 1.7403,                 2.2209,                0.38665,                0.40673,                0.27746,                0.09946,                  0.976,                 1.7382,                 2.2562,              0.0032158,              0.0032158,              0.0032158
                      8,                0.95835,                 1.7061,                 2.1963,                0.54885,                0.28089,                0.19418,                0.06412,                 1.1015,                 2.2996,                 2.4557,              0.0031817,              0.0031817,              0.0031817
                      9,                 0.9233,                 1.6312,                 2.1286,                0.24596,                0.48438,                0.29644,                0.11249,                 1.0081,                 1.7769,                 2.2547,              0.0031477,              0.0031477,              0.0031477
                     10,                0.91655,                 1.6203,                 2.1225,                0.39062,                0.26445,                0.22618,                0.08606,                 1.0529,                 1.8478,                 2.3749,              0.0031137,              0.0031137,              0.0031137
                     11,                0.89502,                 1.5676,                 2.0637,                 0.4831,                0.23563,                0.18468,                0.07521,                 1.0812,                 2.3111,                 2.5882,              0.0030796,              0.0030796,              0.0030796
                     12,                0.88796,                 1.5537,                 2.0474,                0.36061,                0.32541,                0.25165,                 0.0869,                 1.0131,                 1.9564,                 2.2455,              0.0030456,              0.0030456,              0.0030456
                     13,                0.87313,                 1.5262,                 2.0155,                0.34019,                0.37251,                0.24642,                0.09998,                0.96827,                 2.0642,                 2.2665,              0.0030116,              0.0030116,              0.0030116
                     14,                0.83302,                 1.4478,                 1.9537,                0.42503,                0.48843,                0.43643,                 0.1799,                0.88863,                 1.5556,                 2.0656,              0.0029775,              0.0029775,              0.0029775
                     15,                0.83925,                 1.4643,                 1.9699,                0.23541,                0.34041,                0.24885,                0.09238,                 1.0402,                  2.097,                 2.4442,              0.0029435,              0.0029435,              0.0029435
                     16,                0.82982,                 1.4299,                  1.935,                 0.4663,                0.34979,                0.27618,                0.10578,                0.95489,                 1.7868,                 2.2111,              0.0029094,              0.0029094,              0.0029094
                     17,                 0.8228,                 1.4256,                 1.9291,                0.59612,                0.33631,                  0.402,                0.16996,                0.84959,                 1.4732,                 2.0268,              0.0028754,              0.0028754,              0.0028754
                     18,                0.81326,                  1.413,                 1.9116,                0.38449,                0.43876,                0.36232,                0.15686,                 0.9064,                 1.4377,                 2.0656,              0.0028414,              0.0028414,              0.0028414
                     19,                0.80191,                 1.3694,                  1.884,                0.57465,                0.47829,                0.51388,                0.22583,                 0.8092,                 1.3176,                 1.9059,              0.0028073,              0.0028073,              0.0028073
                     20,                0.79402,                 1.3711,                 1.8748,                0.51268,                0.42451,                0.41604,                0.18155,                0.87018,                 1.5172,                 2.0046,              0.0027733,              0.0027733,              0.0027733
                     21,                0.79561,                 1.3288,                 1.8732,                0.57054,                0.45954,                0.45294,                0.19094,                0.85756,                 1.4345,                  2.067,              0.0027393,              0.0027393,              0.0027393
                     22,                0.78808,                  1.332,                 1.8709,                0.51812,                  0.451,                0.41833,                0.18544,                0.87153,                 1.4504,                 2.0333,              0.0027052,              0.0027052,              0.0027052
                     23,                0.78982,                 1.3255,                 1.8571,                0.48915,                0.52846,                0.48214,                0.22058,                0.83352,                 1.3728,                 2.0128,              0.0026712,              0.0026712,              0.0026712
                     24,                0.77318,                 1.2986,                 1.8319,                0.58703,                0.50594,                 0.5362,                0.24117,                0.81719,                 1.3513,                 1.9287,              0.0026372,              0.0026372,              0.0026372
                     25,                0.77365,                 1.2743,                 1.8283,                0.52839,                0.43153,                0.42216,                0.18605,                0.88836,                 1.4526,                 2.0365,              0.0026031,              0.0026031,              0.0026031
                     26,                0.77683,                 1.2803,                 1.8213,                0.65924,                0.39764,                0.48352,                0.21085,                0.84359,                 1.3899,                 2.0067,              0.0025691,              0.0025691,              0.0025691
                     27,                0.75267,                 1.2903,                 1.7993,                0.40962,                0.38049,                0.37647,                0.15711,                 0.9036,                 1.6432,                 2.0938,               0.002535,               0.002535,               0.002535
                     28,                0.75376,                 1.2648,                 1.8021,                0.65795,                0.53543,                0.56269,                0.26586,                0.76449,                 1.2288,                 1.9005,               0.002501,               0.002501,               0.002501
                     29,                0.75011,                 1.2555,                 1.7863,                0.63257,                0.48545,                0.52775,                0.24244,                0.80737,                 1.3116,                 1.9315,               0.002467,               0.002467,               0.002467
                     30,                0.75864,                 1.2949,                  1.803,                0.38519,                0.45983,                0.44098,                0.19158,                0.86239,                 1.4816,                 2.0621,              0.0024329,              0.0024329,              0.0024329
                     31,                0.73966,                 1.2445,                 1.7594,                0.60857,                0.50239,                0.51196,                 0.2386,                0.78511,                 1.3379,                 1.9064,              0.0023989,              0.0023989,              0.0023989
                     32,                 0.7478,                  1.244,                 1.7873,                0.47146,                0.47325,                0.52417,                0.24907,                0.80051,                 1.3061,                 1.9116,              0.0023649,              0.0023649,              0.0023649
                     33,                0.73304,                 1.2241,                 1.7611,                0.61163,                 0.4613,                0.49429,                0.23968,                 0.8243,                 1.3407,                 1.9688,              0.0023308,              0.0023308,              0.0023308
                     34,                0.73839,                 1.2321,                 1.7738,                0.75216,                0.50576,                0.60543,                0.28998,                0.77988,                  1.212,                 1.9058,              0.0022968,              0.0022968,              0.0022968
                     35,                0.72823,                 1.1972,                 1.7436,                0.64483,                0.55612,                0.59349,                0.28591,                0.79292,                 1.2082,                 1.9048,              0.0022627,              0.0022627,              0.0022627
                     36,                0.74462,                 1.2234,                 1.7739,                0.68095,                0.50211,                0.58822,                0.26708,                0.78274,                 1.2375,                 1.9387,              0.0022287,              0.0022287,              0.0022287
                     37,                0.74193,                 1.2057,                 1.7706,                0.56477,                 0.4873,                0.52626,                0.25116,                0.84489,                 1.3836,                 1.9772,              0.0021947,              0.0021947,              0.0021947
                     38,                0.73083,                 1.2045,                 1.7453,                0.56016,                0.58359,                0.62571,                0.30784,                0.75152,                 1.1824,                  1.846,              0.0021606,              0.0021606,              0.0021606
                     39,                0.72973,                 1.2006,                 1.7412,                0.66763,                0.38464,                0.47049,                0.21328,                0.84344,                 1.4747,                 2.0477,              0.0021266,              0.0021266,              0.0021266
                     40,                 0.7372,                 1.1954,                 1.7553,                0.67131,                0.48633,                0.53722,                 0.2574,                0.83951,                  1.328,                 1.9858,              0.0020926,              0.0020926,              0.0020926
                     41,                0.72654,                 1.1827,                 1.7509,                0.42049,                0.61311,                0.57022,                0.28047,                0.78834,                 1.2816,                 1.9105,              0.0020585,              0.0020585,              0.0020585
                     42,                0.71967,                 1.1716,                 1.7356,                0.66097,                0.48521,                0.57208,                0.27044,                0.78442,                 1.2428,                 1.8728,              0.0020245,              0.0020245,              0.0020245
                     43,                0.72542,                 1.1982,                  1.751,                0.70071,                 0.4773,                 0.5635,                0.25806,                0.77689,                 1.3138,                 1.9103,              0.0019905,              0.0019905,              0.0019905
                     44,                0.71731,                  1.173,                 1.7204,                0.69056,                0.51313,                0.57909,                0.29059,                0.75904,                  1.227,                 1.8697,              0.0019564,              0.0019564,              0.0019564
                     45,                0.70682,                 1.1435,                 1.6987,                0.64199,                0.50208,                0.55371,                0.26348,                0.78962,                  1.302,                 1.9369,              0.0019224,              0.0019224,              0.0019224
