fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.4285,0.00311,0.00512,0.97293,0.00046,2.6202,0.8101,3.99935,0.38276,1.47882,0.0122,0.38581,0.20812,0.0,0.0714,0.4889,0.0,0.0,0.62977,0.23859,0.0,1.0,0.0,0.0
0.41584,0.0037,0.00493,0.98,0.0006,2.08967,0.95,3.99935,0.44414,1.44529,0.01534,0.40353,0.21141,0.0,0.09295,0.55954,0.0,0.0,0.64141,0.23859,0.0,1.0,0.0,0.0
0.4294,0.0032,0.00481,0.97293,0.00044,2.8103,0.75036,3.94277,0.34974,1.28598,0.01179,0.38581,0.22897,0.0,0.0714,0.4889,0.0,0.0,0.65943,0.21704,0.0,1.0,0.0,0.0
0.40454,0.00302,0.00559,0.97827,0.00048,2.6202,0.71869,3.82634,0.42842,1.4272,0.01254,0.3815,0.1904,0.0,0.06426,0.43991,0.0,0.0,0.51677,0.23859,0.0,0.93357,0.0,0.0
0.42132,0.00306,0.00496,0.93507,0.00064,1.87466,0.9301,4.75854,0.36171,1.38222,0.01869,0.35113,0.20278,0.0,0.1099,0.4974,0.0,0.0,0.64141,0.23859,0.0,0.78975,0.0,0.0
0.38371,0.0033,0.00384,0.98,0.00039,2.6202,0.71004,4.74353,0.42985,1.56284,0.00924,0.41783,0.24059,0.0,0.0867,0.4889,0.0,0.0,0.82617,0.15828,0.0,0.89198,0.0,0.0
0.42064,0.00299,0.00507,0.96489,0.00042,2.4226,0.72552,3.70468,0.34974,1.28598,0.01148,0.38581,0.1968,0.0,0.06887,0.49169,0.0,0.0,0.63598,0.24023,0.0,1.0,0.0,0.0
0.42365,0.00318,0.00478,0.96656,0.00043,2.73404,0.75036,3.84349,0.33852,1.31442,0.01193,0.38599,0.23252,0.0,0.07037,0.47318,0.0,0.0,0.65943,0.22597,0.0,1.0,0.0,0.0
0.44215,0.00336,0.00512,0.95578,0.00046,2.58506,0.75679,3.30905,0.38276,1.60441,0.0122,0.35948,0.21478,0.0,0.0765,0.4995,0.0,0.0,0.58619,0.32459,0.0,0.90357,0.0,0.0
0.41194,0.0048,0.00485,0.94998,0.00038,1.31859,0.65224,3.00369,0.38949,1.60441,0.01287,0.35948,0.18757,0.0,0.06425,0.55908,0.0,0.0,0.58619,0.24994,0.0,0.90357,0.0,0.0
0.41646,0.00322,0.00512,0.98,0.00047,2.48275,0.8101,4.04882,0.38276,1.47882,0.01224,0.38581,0.19144,0.0,0.07107,0.4889,0.0,0.0,0.61985,0.23079,0.0,1.0,0.0,0.0
0.41732,0.003,0.00548,0.97293,0.00047,2.71227,0.82162,4.13897,0.36938,1.47882,0.01219,0.35793,0.20381,0.0,0.0714,0.4889,0.0,0.0,0.60515,0.23859,0.0,0.96413,0.0,0.0
0.41538,0.00333,0.00514,0.95302,0.00046,2.56185,0.77412,3.45704,0.38565,1.58681,0.0122,0.35948,0.21908,0.0,0.07623,0.50941,0.0,0.0,0.58619,0.31818,0.0,0.89935,0.0,0.0
0.43657,0.0034,0.00515,0.95898,0.00046,2.58506,0.73474,3.36574,0.37669,1.60513,0.01217,0.35043,0.2177,0.0,0.07842,0.49846,0.0,0.0,0.5804,0.32478,0.0,0.89731,0.0,0.0
0.42683,0.00373,0.00611,0.95898,0.00038,2.48532,0.72983,3.57643,0.37669,1.61542,0.01152,0.29028,0.21949,0.0,0.07175,0.49137,0.0,0.0,0.60381,0.32639,0.0,0.93348,0.0,0.0
0.3949,0.00336,0.00534,0.96144,0.00046,2.78223,0.81284,2.88252,0.38276,1.83618,0.0122,0.34435,0.21478,0.0,0.08575,0.54286,0.0,0.0,0.64829,0.3577,0.0,0.90066,0.0,0.0
0.43291,0.00363,0.00515,0.95898,0.00052,2.58506,0.76426,3.16535,0.3768,1.56785,0.01194,0.31755,0.21917,0.0,0.07049,0.57544,0.0,0.0,0.57351,0.32478,0.0,1.0,0.0,0.0
0.43053,0.00321,0.00515,0.97943,0.0005,2.69644,0.76352,3.36574,0.3926,1.20247,0.01217,0.33218,0.2177,0.0,0.07842,0.49846,0.0,0.0,0.5804,0.32233,0.0,1.0,0.0,0.0
0.43263,0.00339,0.00515,0.95898,0.00046,2.55775,0.73141,3.4229,0.37743,1.60513,0.01217,0.34586,0.21823,0.0,0.07842,0.49846,0.0,0.0,0.59057,0.32365,0.0,0.90311,0.0,0.0
