                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7577,                 3.1859,                 1.8584,                0.29114,                0.30197,                0.31283,                0.14567,                 1.8068,                 2.6335,                 1.9909,             0.00032889,             0.00032889,             0.00032889
                      2,                 1.6314,                 2.2637,                 1.6963,                0.41343,                0.33441,                0.23733,                0.09614,                 1.9869,                 3.0577,                 2.1692,             0.00065894,             0.00065894,             0.00065894
                      3,                 1.6177,                 2.1013,                 1.6925,                0.48681,                0.33314,                0.30429,                0.12811,                 1.9159,                 2.4267,                 2.1163,              0.0009857,              0.0009857,              0.0009857
                      4,                 1.5831,                  1.986,                 1.6482,                0.45978,                0.51206,                 0.5116,                0.23391,                 1.7602,                 1.9609,                 1.8975,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.5678,                 1.8912,                 1.6357,                0.52059,                0.46176,                0.49419,                  0.224,                 1.9014,                 2.2304,                 2.0188,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5644,                 1.8048,                 1.6139,                0.63128,                 0.5436,                0.56488,                0.25582,                 1.7788,                 1.7391,                 1.8374,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.5194,                 1.7598,                  1.602,                0.69065,                0.57161,                0.60244,                0.30121,                 1.6427,                 1.6712,                 1.7825,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.5155,                 1.7291,                 1.5952,                0.64077,                0.49692,                0.51676,                0.24261,                 1.8146,                 1.7274,                 1.8917,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.5012,                 1.7332,                 1.5985,                0.68397,                0.46037,                0.52109,                0.25871,                 1.7822,                 1.7239,                 1.8663,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.4887,                 1.6819,                 1.5737,                0.50139,                0.44011,                0.47391,                0.22983,                 1.8346,                 1.9137,                 1.8942,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.4845,                 1.6624,                 1.5912,                0.70941,                0.54045,                0.60953,                 0.2899,                 1.7247,                 1.6055,                 1.7819,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.4694,                 1.6016,                 1.5654,                0.53321,                0.54056,                0.55928,                0.27383,                 1.6636,                 1.6197,                 1.7417,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.4797,                 1.5894,                 1.5737,                0.49606,                0.63193,                 0.6308,                0.31601,                 1.6478,                  1.585,                 1.7513,              0.0009406,              0.0009406,              0.0009406
