                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7272,                 3.0274,                 1.8286,                0.31944,                0.42058,                0.38069,                0.18913,                 1.8117,                 2.3531,                 1.8458,             0.00032979,             0.00032979,             0.00032979
                      2,                 1.6057,                  2.184,                 1.6679,                0.36827,                  0.389,                0.35088,                0.15786,                  1.884,                 2.5744,                  2.036,             0.00065984,             0.00065984,             0.00065984
                      3,                   1.59,                 2.0705,                  1.665,                0.65793,                0.40163,                 0.4543,                0.21715,                 1.7938,                 2.3474,                 2.0191,             0.00098659,             0.00098659,             0.00098659
                      4,                 1.5834,                 1.9803,                   1.67,                0.70646,                0.53113,                0.59987,                0.31387,                 1.6576,                 1.8288,                 1.7858,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.5581,                 1.8719,                 1.6502,                 0.4092,                0.48049,                0.44895,                 0.2084,                 1.9256,                 2.1997,                  2.053,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5445,                 1.8089,                 1.6348,                0.54004,                0.59476,                0.56021,                0.28741,                  1.756,                  1.848,                 1.7695,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.5058,                 1.7275,                 1.6099,                0.56085,                0.49198,                0.50304,                0.24683,                 1.7508,                 1.9386,                 1.7926,              0.0009703,              0.0009703,              0.0009703
                      8,                    1.5,                 1.6635,                 1.5863,                0.53433,                0.54702,                0.53987,                0.26619,                 1.7479,                 1.9543,                 1.8124,             0.00096535,             0.00096535,             0.00096535
                      9,                  1.488,                 1.6307,                 1.5898,                0.73408,                0.55407,                0.62202,                0.32175,                  1.645,                 1.6406,                 1.7394,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.5082,                 1.6446,                 1.5991,                 0.5261,                0.57934,                0.60068,                0.30803,                 1.6744,                 1.7022,                 1.7254,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.4681,                 1.6112,                 1.5813,                0.61804,                0.61169,                0.63879,                0.31443,                 1.6679,                 1.7721,                 1.7756,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.4789,                  1.607,                 1.5943,                0.50637,                0.48583,                0.49821,                0.25072,                 1.7807,                 2.0371,                 1.8734,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.4569,                 1.5785,                 1.5701,                0.50318,                0.66476,                0.61727,                0.32784,                 1.6471,                 1.6067,                 1.7218,              0.0009406,              0.0009406,              0.0009406
