fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.2842,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.30078,0.00996,0.00999,0.937,0.0005,2.96431,0.8,7.5,0.50463,1.5,0.01506,0.71305,0.39403,0.0,0.09972,0.50273,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.33461,0.0094,0.01121,0.94214,0.00052,3.14819,0.79505,7.34516,0.49516,1.39088,0.01522,0.64358,0.35774,0.0,0.09879,0.48862,0.0,0.0,0.0,0.4722,0.0,0.93529,0.0,0.0
0.2198,0.00923,0.00974,0.96813,0.00053,3.15389,0.75529,7.31058,0.48128,1.46638,0.01516,0.64358,0.35774,0.0,0.09756,0.48862,0.0,0.0,0.0,0.47098,0.0,0.88545,0.0,0.0
0.15288,0.00961,0.00745,0.98,0.00052,3.57812,0.95,7.34516,0.4709,1.5564,0.01824,0.55362,0.35774,0.0,0.10625,0.59226,0.0,0.0,0.0,0.50795,0.0,0.77871,0.0,0.0
0.29312,0.0094,0.01135,0.94214,0.00052,3.14819,0.78656,7.31547,0.49715,1.39088,0.01537,0.636,0.36296,0.0,0.09844,0.48543,0.0,0.0,0.0,0.47655,0.0,0.93193,0.0,0.0
0.3296,0.00991,0.0112,0.94214,0.00052,3.13732,0.80829,6.96005,0.46987,1.39088,0.01522,0.65875,0.37381,0.0,0.09879,0.48862,0.0,0.0,0.0,0.54137,0.0,0.93529,0.0,0.0
0.32792,0.00619,0.00982,0.93349,0.00051,3.3482,0.6903,6.19062,0.51817,1.38852,0.0168,0.58678,0.33837,0.0,0.08358,0.42923,0.0,0.0,0.0,0.4722,0.0,0.95779,0.0,0.0
0.3019,0.01018,0.01079,0.94956,0.00052,3.13732,0.80829,6.99337,0.47648,1.38182,0.01467,0.66981,0.36279,0.0,0.09879,0.49973,0.0,0.0,0.0,0.53482,0.0,0.93529,0.0,0.0
0.29774,0.00856,0.01045,0.93932,0.00059,3.01541,0.80829,7.64074,0.42835,1.39088,0.0155,0.65875,0.39042,0.0,0.10967,0.48862,0.0,0.0,0.0,0.59571,0.0,0.9797,0.0,0.0
0.33448,0.00997,0.0123,0.9283,0.00052,3.14819,0.85482,7.29209,0.47739,1.45641,0.01794,0.54939,0.38081,0.0,0.09879,0.46444,0.0,0.0,0.0,0.51075,0.0,0.83377,0.0,0.0
0.27642,0.00619,0.00837,0.98,0.00055,3.3482,0.69025,6.19062,0.54623,1.80547,0.01285,0.58678,0.39983,0.0,0.0882,0.51353,0.0,0.0,0.0,0.5427,0.0,0.95779,0.0,0.0
0.34232,0.00576,0.00946,0.93285,0.00051,3.31491,0.74217,6.19062,0.44561,1.55371,0.01897,0.53183,0.33837,0.0,0.08395,0.42923,0.0,0.0,0.0,0.4722,0.0,0.95779,0.0,0.0
0.32349,0.00555,0.00946,0.93448,0.0005,3.28534,0.82516,6.49865,0.44561,1.67362,0.01826,0.51699,0.34147,0.0,0.08502,0.43357,0.0,0.0,0.0,0.4722,0.0,0.95779,0.0,0.0
0.32128,0.00576,0.00968,0.92781,0.00051,3.31491,0.74866,6.19062,0.44561,1.49986,0.01988,0.53183,0.33281,0.0,0.08395,0.41207,0.0,0.0,0.0,0.46665,0.0,0.95176,0.0,0.0
