                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1115,                 1.1492,                 1.7424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068732,              0.0022167,              0.0022167
                      2,                 1.3861,                 1.6164,                 2.0339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036895,              0.0043157,              0.0043157
                      3,                 1.4188,                 1.7362,                 2.1154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061823,              0.0061823,              0.0061823
                      4,                 1.4045,                 1.7086,                 2.0874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059634,              0.0059634,              0.0059634
                      5,                 1.3334,                 1.5446,                 1.9973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057446,              0.0057446,              0.0057446
                      6,                 1.3472,                 1.5483,                 2.0011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055257,              0.0055257,              0.0055257
                      7,                 1.3042,                 1.5001,                 1.9697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053069,              0.0053069,              0.0053069
                      8,                 1.2511,                 1.4372,                 1.9087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005088,               0.005088,               0.005088
                      9,                 1.2876,                 1.4334,                 1.9555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048692,              0.0048692,              0.0048692
                     10,                 1.2783,                 1.4153,                  1.922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046503,              0.0046503,              0.0046503
                     11,                 1.2332,                 1.3457,                 1.8909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044315,              0.0044315,              0.0044315
                     12,                 1.2233,                 1.3449,                 1.8818,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042126,              0.0042126,              0.0042126
                     13,                 1.2291,                 1.3396,                 1.8754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039938,              0.0039938,              0.0039938
                     14,                 1.1617,                 1.2551,                 1.8217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037749,              0.0037749,              0.0037749
                     15,                 1.1838,                 1.2909,                 1.8538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035561,              0.0035561,              0.0035561
                     16,                 1.1592,                 1.2449,                 1.8099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033372,              0.0033372,              0.0033372
                     17,                 1.1564,                 1.2372,                 1.7959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031184,              0.0031184,              0.0031184
                     18,                 1.1388,                 1.2042,                 1.7959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028995,              0.0028995,              0.0028995
                     19,                 1.1233,                 1.1725,                 1.7788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026806,              0.0026806,              0.0026806
                     20,                 1.1424,                 1.1973,                 1.7924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024618,              0.0024618,              0.0024618
                     21,                 1.1611,                 1.2075,                 1.9066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022429,              0.0022429,              0.0022429
                     22,                 1.1227,                 1.1387,                 1.8545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020241,              0.0020241,              0.0020241
                     23,                 1.1173,                 1.1256,                 1.8515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018052,              0.0018052,              0.0018052
                     24,                 1.1202,                 1.1042,                 1.8429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015864,              0.0015864,              0.0015864
                     25,                 1.0907,                 1.0677,                   1.82,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013675,              0.0013675,              0.0013675
                     26,                 1.0738,                 1.0278,                  1.792,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011487,              0.0011487,              0.0011487
                     27,                 1.0633,                  1.021,                 1.7749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092983,             0.00092983,             0.00092983
                     28,                 1.0344,                0.98433,                 1.7417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071097,             0.00071097,             0.00071097
                     29,                 1.0109,                0.97477,                 1.7173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00049212,             0.00049212,             0.00049212
                     30,                0.99131,                0.94491,                 1.7017,                0.65182,                0.70781,                0.73796,                0.40643,                 1.1684,                0.98545,                 1.8278,             0.00027327,             0.00027327,             0.00027327
