                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97684,                0.98805,                 1.8345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.066278,              0.0011833,              0.0011833
                      2,                 1.0189,                 1.0218,                 1.9014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.032021,              0.0023037,              0.0023037
                      3,                 1.0249,                  1.056,                 1.9429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031656,              0.0031656,              0.0031656
                      4,                 1.0498,                 1.1004,                 1.9888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030533,              0.0030533,              0.0030533
                      5,                 1.0561,                  1.091,                 1.9759,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029411,              0.0029411,              0.0029411
                      6,                 1.0211,                 1.0583,                 1.9346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028289,              0.0028289,              0.0028289
                      7,                 1.0262,                 1.0729,                 1.9469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027167,              0.0027167,              0.0027167
                      8,                 1.0279,                 1.0514,                 1.9354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026045,              0.0026045,              0.0026045
                      9,                 1.0184,                 1.0564,                  1.915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024922,              0.0024922,              0.0024922
                     10,                0.99638,                  1.025,                 1.8893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00238,                0.00238,                0.00238
                     11,                 1.0158,                 1.0229,                 1.9016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022678,              0.0022678,              0.0022678
                     12,                 1.0029,                 1.0286,                 1.8993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021556,              0.0021556,              0.0021556
                     13,                0.99178,                 1.0222,                 1.8883,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020434,              0.0020434,              0.0020434
                     14,                0.97594,                0.99864,                  1.873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019312,              0.0019312,              0.0019312
                     15,                0.97042,                0.99599,                 1.8646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018189,              0.0018189,              0.0018189
                     16,                  0.976,                0.98875,                 1.8724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017067,              0.0017067,              0.0017067
                     17,                0.96556,                 0.9738,                 1.8578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015945,              0.0015945,              0.0015945
                     18,                0.96825,                0.95848,                 1.8409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014823,              0.0014823,              0.0014823
                     19,                0.95102,                0.95976,                 1.8249,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013701,              0.0013701,              0.0013701
                     20,                0.95801,                0.96396,                 1.8325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012578,              0.0012578,              0.0012578
                     21,                0.83869,                0.96018,                 1.6952,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011456,              0.0011456,              0.0011456
                     22,                0.81988,                0.83546,                   1.67,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010334,              0.0010334,              0.0010334
                     23,                0.81129,                0.80505,                 1.6461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092118,             0.00092118,             0.00092118
                     24,                0.80463,                0.77619,                 1.6379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080896,             0.00080896,             0.00080896
                     25,                0.79053,                0.74738,                 1.6114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069674,             0.00069674,             0.00069674
                     26,                0.78878,                0.73737,                 1.6301,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058452,             0.00058452,             0.00058452
                     27,                0.77779,                0.72694,                 1.6083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004723,              0.0004723,              0.0004723
                     28,                 0.7681,                0.70805,                 1.5869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036008,             0.00036008,             0.00036008
                     29,                0.76449,                0.69717,                 1.5763,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024786,             0.00024786,             0.00024786
                     30,                0.74603,                0.68354,                 1.5573,                0.69949,                0.68848,                0.75208,                0.42686,                0.82512,                0.70259,                 1.6314,             0.00013564,             0.00013564,             0.00013564
